Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P6160|P6170|P6175|P6210|P6210S1|P6220
3409624|1|1|1|2446.8408857|34096241|1|2||3|05|
3409624|1|2|2|2446.8408857|34096241|1|2||4|09|
3409625|1|1|1|2152.596381|34096251|1|2||5|11|2
3409625|1|2|2|2152.596381|34096251|1|2||5|11|2
3409625|1|3|3|2152.596381|34096251|1|2||5|11|2
3409625|1|4|4|2152.596381|34096251|1|1|1|3|05|
3409626|1|1|1|2061.4444071|34096261|1|2||3|05|
3409626|1|2|2|2061.4444071|34096261|1|2||3|05|
3409626|1|3|3|2061.4444071|34096261|1|2||3|04|
3409627|1|1|1|1571.2723199|34096271|1|2||5|11|2
3409627|1|2|2|1571.2723199|34096271|1|2||6|03|3
3409627|1|3|3|1571.2723199|34096271|1|2||6|02|3
3409627|1|4|4|1571.2723199|34096271|1|1|2|4|07|
3409628|1|1|1|2257.515059|34096281|1|2||4|09|
3409628|1|2|2|2257.515059|34096281|1|2||4|07|
3409628|1|3|3|2257.515059|34096281|1|2||6|05|4
3409628|1|4|4|2257.515059|34096281|1|1|2|4|08|
3409630|1|1|1|1974.2704957|34096301|1|2||5|11|2
3409630|1|2|2|1974.2704957|34096301|1|2||6|05|4
3409631|1|1|1|1924.9922282|34096311|1|1|1|6|02|2
3409631|1|2|2|1924.9922282|34096311|1|2||5|11|2
3409632|1|1|1|2459.7254142|34096321|1|2||5|11|2
3409634|1|1|1|2579.8855265|34096341|1|2||6|05|4
3409635|1|1|1|2382.9163427|34096351|1|1|2|6|01|2
3409637|1|3|3|2157.1055002|34096371|1|2||4|09|
3409637|1|4|4|2157.1055002|34096371|1|2||5|11|2
3409637|1|5|5|2157.1055002|34096371|1|1|1|6|00|2
3409637|1|6|6|2157.1055002|34096371|1|1|1|3|00|
3409637|1|1|1|2157.1055002|34096371|1|2||4|08|
3409637|1|2|2|2157.1055002|34096371|1|2||5|11|2
3409638|1|1|1|943.06287346|34096381|1|2||6|05|4
3409638|1|2|2|943.06287346|34096381|1|2||6|05|4
3409638|1|3|3|943.06287346|34096381|1|1|1|5|10|1
3409638|1|4|4|943.06287346|34096381|1|1|2|3|02|
3409639|1|1|1|1192.4609968|34096391|1|2||6|03|3
3409639|1|2|2|1192.4609968|34096391|1|2||6|03|3
3409639|1|4|4|1192.4609968|34096391|1|2||5|11|2
3409639|1|5|5|1192.4609968|34096391|1|1|2|4|06|
3409640|1|1|1|531.29504499|34096401|1|2||6|02|3
3409640|1|2|2|531.29504499|34096401|1|2||6|02|3
3409640|1|3|3|531.29504499|34096401|1|2||6|05|4
3409640|1|4|4|531.29504499|34096401|1|2||6|05|4
3409640|1|5|5|531.29504499|34096401|1|2||6|05|4
3409640|1|6|6|531.29504499|34096401|1|2||6|03|3
3409641|1|1|1|993.23445647|34096411|1|2||6|05|4
3409641|1|2|2|993.23445647|34096411|1|2||6|05|4
3409641|1|3|3|993.23445647|34096411|1|2||6|05|4
3409641|1|4|4|993.23445647|34096411|1|1|2|6|00|2
3409642|1|1|1|969.16327189|34096421|1|2||5|11|2
3409643|1|1|1|852.82762085|34096431|1|2||6|08|5
3409643|1|2|2|852.82762085|34096431|1|2||6|03|3
3409643|1|3|3|852.82762085|34096431|1|2||6|07|5
3409644|1|1|1|1063.5618684|34096441|1|2||4|07|
3409645|1|1|1|1013.1228835|34096451|1|2||5|11|2
3409645|1|2|2|1013.1228835|34096451|1|2||3|05|
3409645|1|3|3|1013.1228835|34096451|1|1|2|6|00|2
3409645|1|4|4|1013.1228835|34096451|1|2||6|05|4
3409645|1|5|5|1013.1228835|34096451|1|2||6|05|2
3409645|1|6|6|1013.1228835|34096451|2|1|1|2|00|
3409646|1|1|1|1122.817137|34096461|1|2||3|05|
3409646|1|2|2|1122.817137|34096461|1|1|1|4|00|
3409646|1|3|3|1122.817137|34096461|1|2||3|05|
3409647|1|1|1|1063.5618684|34096471|1|2||5|11|2
3409648|1|1|1|792.4652368|34096481|1|2||5|11|2
3409648|1|2|2|792.4652368|34096481|1|2||3|05|
3409649|1|1|1|1524.3472918|34096491|1|2||6|05|4
3409649|1|2|2|1524.3472918|34096491|1|2||5|11|2
3409649|1|3|3|1524.3472918|34096491|1|1|1|3|02|
3409650|1|1|1|1237.0838888|34096501|1|2||4|08|
3409650|1|2|2|1237.0838888|34096501|1|2||4|07|
3409650|1|3|3|1237.0838888|34096501|1|2||6|02|3
3409650|1|4|4|1237.0838888|34096501|1|2||5|11|2
3409650|1|5|5|1237.0838888|34096501|1|1|1|3|01|
3409651|1|1|1|8870.0981267|34096511|1|2||6|08|5
3409652|1|1|1|6393.8459387|34096521|1|2||6|04|3
3409652|1|2|2|6393.8459387|34096521|1|2||5|11|2
3409653|1|1|1|8230.1459812|34096531|1|2||3|05|
3409653|1|2|2|8230.1459812|34096531|1|2||5|11|2
3409653|1|3|3|8230.1459812|34096531|1|2||6|05|4
3409654|1|1|1|7584.1954459|34096541|1|2||6|08|5
3409655|1|1|1|7149.8393932|34096551|1|2||5|11|2
3409655|1|2|2|7149.8393932|34096551|1|1|2|4|09|
3409656|1|1|1|9325.1439979|34096561|1|2||6|05|4
3409656|1|2|2|9325.1439979|34096561|1|2||6|05|4
3409657|1|1|1|8435.742074|34096571|1|1|2|6|03|2
3409657|1|2|2|8435.742074|34096571|1|2||6|04|3
3409658|1|1|1|5107.9432579|34096581|1|2||6|02|3
3409658|1|2|2|5107.9432579|34096581|1|1|2|4|08|
3409659|1|1|1|7584.1954459|34096591|1|2||5|11|2
3409660|1|1|1|6637.4883941|34096601|1|2||6|02|3
3409661|1|1|1|2667.3688885|34096611|1|2||5|11|2
3409661|1|2|2|2667.3688885|34096611|1|2||5|11|2
3409661|1|3|3|2667.3688885|34096611|1|1|2|6|01|2
3409661|1|4|4|2667.3688885|34096611|1|1|2|6|05|4
3409661|1|5|5|2667.3688885|34096611|1|2||5|11|2
3409662|1|1|1|7112.4924673|34096621|1|2||5|11|2
