Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P36|P36S1|P6007|P6007S1|P543|P544S1|P544S2|P544S3|P544S4|P544S5|P544S6|P544S7|P544S8|P544S9|P545|P546|P547
3409624|1|1|1|2446.8408857|34096241|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3409625|1|1|1|2152.596381|34096251|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3409626|1|1|1|2061.4444071|34096261|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3409627|1|1|1|1571.2723199|34096271|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3409628|1|1|1|2257.515059|34096281|2||2||1|1|2|1|2|2|2|2|2||3||4000000
3409630|1|1|1|1974.2704957|34096301|2||2||1|1|2|2|2|2|2|2|2||1||99
3409631|1|1|1|1924.9922282|34096311|2||2||1|1|2|2|2|2|2|2|1||8||1600000
3409632|1|1|1|2459.7254142|34096321|2||2||1|2|1|1|2|2|2|2|2||3||1500000
3409634|1|1|1|2579.8855265|34096341|2||2||1|1|2|2|2|2|2|1|2||1||6000000
3409635|1|1|1|2382.9163427|34096351|2||2||1|1|2|2|2|2|2|2|1||8||1780000
3409637|1|1|1|2157.1055002|34096371|2||2||1|1|2|2|2|2|2|2|2||1||4000000
3409638|1|1|1|943.06287346|34096381|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3409639|1|1|1|1192.4609968|34096391|2||2||2|1|2|2|2|2|2|2|2||1||5000000
3409640|1|1|1|531.29504499|34096401|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3409641|1|1|1|993.23445647|34096411|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3409642|1|1|1|969.16327189|34096421|2||2||1|2|2|1|2|2|2|2|1||3||2000000
3409643|1|1|1|852.82762085|34096431|2||2||1|1|2|1|2|2|2|2|2||1||9000000
3409644|1|1|1|1063.5618684|34096441|2||2||1|1|2|2|2|2|2|2|2||1||98
3409645|1|1|1|1013.1228835|34096451|2||2||1|1|2|1|2|2|2|2|2||3||5000000
3409646|1|1|1|1122.817137|34096461|2||2||1|1|2|2|1|2|2|2|1||1||930000
3409647|1|1|1|1063.5618684|34096471|2||2||1|1|2|2|2|2|2|2|2||1||98
3409648|1|1|1|792.4652368|34096481|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3409649|1|1|1|1524.3472918|34096491|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3409650|1|1|1|1237.0838888|34096501|2||2||2|1|2|2|2|2|2|2|2||1||4000000
3409651|1|1|1|8870.0981267|34096511|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3409652|1|1|1|6393.8459387|34096521|2||1|1|1|1|2|2|2|2|2|2|2||1||3500000
3409653|1|1|1|8230.1459812|34096531|2||2||1|2|2|1|2|2|2|2|2||3||2000000
3409654|1|1|1|7584.1954459|34096541|2||2||1|1|2|2|2|2|2|2|2||1||6000000
3409655|1|1|1|7149.8393932|34096551|2||2||1|1|2|2|1|2|2|2|2||1||1100000
3409656|1|1|1|9325.1439979|34096561|2||2||1|1|2|2|2|2|2|2|2||1||4000000
3409657|1|1|1|8435.742074|34096571|2||2||1|1|2|2|2|2|2|2|2||1||4000000
3409658|1|1|1|5107.9432579|34096581|2||2||1|1|2|2|2|2|2|2|2||1||1400000
3409659|1|1|1|7584.1954459|34096591|2||2||1|1|2|2|2|2|2|2|2||1||1400000
3409660|1|1|1|6637.4883941|34096601|2||2||1|1|2|2|2|2|2|2|2||1||1200000
3409661|1|1|1|2667.3688885|34096611|2||2||1|1|2|2|1|2|1|2|2||1||2600000
3409662|1|1|1|7112.4924673|34096621|2||2||1|1|2|2|2|2|2|2|2||1||1700000
3409663|1|1|1|7112.4924673|34096631|2||2||1|1|2|2|1|2|2|2|2||1||1300000
3409664|1|1|1|4245.2243514|34096641|2||2||1|1|2|2|2|2|2|2|2||1||5000000
3409665|1|1|1|4294.6364305|34096651|2||2||1|1|2|2|2|2|2|2|2||1||5000000
3409666|1|1|1|4234.0519678|34096661|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3409667|1|1|1|6518.2695804|34096671|2||2||1|1|2|2|2|2|2|1|2||1||3500000
3409668|1|1|1|6564.9359348|34096681|2||2||1|2|2|2|2|2|2|1|1||7||15000000
3409669|1|1|1|8064.5483988|34096691|2||2||1|1|2|2|2|2|2|2|2||1||5000000
3409670|1|1|1|6564.9359348|34096701|2||2||1|2|2|1|2|2|2|2|2||3||10000000
3409673|1|1|1|4606.8680355|34096731|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3409674|1|1|1|5512.6537783|34096741|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3409676|1|1|1|4606.8680355|34096761|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3409677|1|1|1|5512.6537783|34096771|2||2||1|2|2|2|2|2|2|2|2|2||900000|
3409678|1|1|1|5234.6192596|34096781|2||2||2|1|2|2|2|2|2|2|2||1||10000000
3409679|1|1|1|7229.0572951|34096791|2||2||1|1|2|1|2|2|2|2|2||3||5000000
3409681|1|1|1|3179.954142|34096811|2||2||1|1|2|2|2|2|2|2|2||1||12000000
3409683|1|1|1|5330.4217613|34096831|2||2||1|2|2|1|2|2|2|2|2||3||1000000
3409685|1|1|1|5401.629253|34096851|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3409686|1|1|1|3404.2513093|34096861|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3409687|1|1|1|6324.5887734|34096871|2||2||1|1|2|1|2|2|2|2|2||1||3000000
3409688|1|1|1|6330.6703465|34096881|2||2||1|1|2|1|2|2|2|2|2||3||1300000
3409690|1|1|1|6955.8296028|34096901|2||2||1|2|1|1|2|2|2|2|2||3||2800000
3409691|1|1|1|5974.4936725|34096911|2||2||1|1|2|1|2|2|2|1|2||1||4000000
3409693|1|1|1|3590.4178968|34096931|2||2||1|2|2|2|2|2|2|2|2|2||2000000|
3409695|1|1|1|4021.3826909|34096951|2||2||1|2|2|1|2|2|2|2|2||3||3000000
3409697|1|1|1|652.21952103|34096971|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3409698|1|1|1|634.50925338|34096981|2||2||1|1|2|2|2|2|2|2|2||1||1000000
