Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|area|P5747|P8520S1|P8520S1A1|P8520S2|P8520S3|P8520S4|P8520S5
3409624|1|1|1|2446.8408857|05|1|1|3|1|1|1|1
3409625|1|1|1|2152.596381|05|2|1|3|1|1|1|1
3409626|1|1|1|2061.4444071|05|1|1|3|1|1|1|1
3409627|1|1|1|1571.2723199|05|2|1|3|1|1|1|1
3409628|1|1|1|2257.515059|05|2|1|3|1|1|1|1
3409630|1|1|1|1974.2704957|05|2|1|3|1|1|1|1
3409631|1|1|1|1924.9922282|05|2|1|3|1|1|1|1
3409632|1|1|1|2459.7254142|05|2|1|3|1|1|1|1
3409634|1|1|1|2579.8855265|05|2|1|6|1|1|1|1
3409635|1|1|1|2382.9163427|05|2|1|3|2|1|1|1
3409637|1|1|1|2157.1055002|05|2|1|3|2|1|1|1
3409638|1|1|1|943.06287346|08|2|1|4|1|1|1|1
3409639|1|1|1|1192.4609968|08|2|1|4|1|1|1|1
3409640|1|1|1|531.29504499|08|2|1|4|1|1|1|1
3409641|1|1|1|993.23445647|08|2|1|4|1|1|1|1
3409642|1|1|1|969.16327189|08|2|1|4|1|1|1|1
3409643|1|1|1|852.82762085|08|2|1|4|1|1|1|1
3409644|1|1|1|1063.5618684|08|1|1|2|1|1|1|1
3409645|1|1|1|1013.1228835|08|1|1|2|1|1|1|1
3409646|1|1|1|1122.817137|08|1|1|2|1|1|1|1
3409647|1|1|1|1063.5618684|08|1|1|2|1|1|1|1
3409648|1|1|1|792.4652368|08|1|1|2|1|1|1|1
3409649|1|1|1|1524.3472918|08|2|1|2|1|1|1|1
3409650|1|1|1|1237.0838888|08|2|1|2|1|1|1|1
3409651|1|1|1|8870.0981267|11|2|1|3|1|1|1|1
3409652|1|1|1|6393.8459387|11|2|1|3|1|1|1|1
3409653|1|1|1|8230.1459812|11|2|1|3|1|1|1|1
3409654|1|1|1|7584.1954459|11|2|1|3|1|1|1|1
3409655|1|1|1|7149.8393932|11|2|1|3|1|1|1|1
3409656|1|1|1|9325.1439979|11|2|1|3|1|1|1|1
3409657|1|1|1|8435.742074|11|2|1|3|1|1|1|1
3409658|1|1|1|5107.9432579|11|2|1|3|1|1|1|1
3409659|1|1|1|7584.1954459|11|2|1|3|1|1|1|1
3409660|1|1|1|6637.4883941|11|2|1|2|1|1|1|1
3409661|1|1|1|2667.3688885|11|2|1|2|1|1|1|1
3409662|1|1|1|7112.4924673|11|2|1|2|1|1|1|1
3409663|1|1|1|7112.4924673|11|2|1|2|1|1|1|1
3409664|1|1|1|4245.2243514|11|2|1|4|1|1|1|1
3409665|1|1|1|4294.6364305|11|2|1|4|1|1|1|1
