Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P37|P38S1|P38S1A1|P38S2|P38S2A1|P38S3|P38S3A1
3409927|1|1|1|161.25330491|34099271|1|1|8000|2||2|
3410129|1|1|1|132.08311543|34101291|2||||||
3410438|1|1|1|145.32287233|34104381|1|1|30000|2||2|
3410551|1|1|1|219.49994763|34105511|1|1|400000|2||2|
3410676|1|1|1|279.44723749|34106761|2||||||
3410847|1|1|1|2350.9463747|34108471|1|2||2||1|120000
3411032|1|1|1|6564.9359348|34110321|1|1|400000|1|1000000|2|
3411033|1|1|1|5899.8723566|34110331|1|1|700000|1|650000|2|
3411037|1|1|1|4641.4743265|34110371|1|1|200000|1|1150000|2|
3411102|1|1|1|126.17856673|34111021|1|1|250000|1|600000|1|400000
3411102|1|2|2|126.17856673|34111021|1|1|100000|1|1600000|1|250000
3411120|1|1|1|119.42986402|34111201|1|1|70000|1|220000|1|220000
3411195|1|1|1|359.30410906|34111951|1|1|1500000|2||2|
3411243|1|1|1|118.94324262|34112431|1|1|200000|1|200000|2|
3411297|1|1|1|114.76354292|34112971|2||||||
3411494|1|1|1|808.43792874|34114941|1|1|130000|2||1|100000
3411606|1|1|1|1846.5073428|34116061|1|1|58000|1|300000|2|
3411617|1|1|1|1623.7528531|34116171|2||||||
3411653|1|1|1|2160.8487338|34116531|1|1|98|1|98|2|
3411654|1|1|1|1825.8015629|34116541|2||||||
3411698|1|1|1|952.49555609|34116981|1|1|100000|1|200000|1|20000
3411774|1|1|1|4431.2225849|34117741|2||||||
3411865|1|1|1|97.000278551|34118651|1|1|2500000|2||1|1500000
3411865|1|2|2|97.000278551|34118651|1|1|2500000|2||1|3000000
3411875|1|1|1|613.73077507|34118751|2||||||
3411877|1|1|1|819.42619787|34118771|1|1|500000|1|300000|1|1300000
3411976|1|1|1|125.04034653|34119761|1|1|50000|2||1|75000
3411977|1|1|1|80.935517227|34119771|1|1|7000|2||2|
3412078|1|1|1|216.06190408|34120781|1|2||1|1200000|2|
3412099|1|1|1|199.66150251|34120991|1|2||1|1000000|2|
3412281|1|1|1|289.16718019|34122811|1|1|80000|2||2|
3412482|1|1|1|382.31204415|34124821|2||||||
3412958|1|1|1|462.30553286|34129581|1|1|200000|2||2|
3413078|1|1|1|60.496800636|34130781|1|1|250000|2||2|
3413099|1|1|1|1789.55339|34130991|2||||||
3413100|1|1|1|3838.5542957|34131001|2||||||
3413102|1|1|1|1341.0275666|34131021|1|1|300000|2||2|
3413104|1|1|1|2064.4305116|34131041|2||||||
3413118|1|1|1|2157.7201627|34131181|1|1|60000|2||2|
3413119|1|1|1|4923.133155|34131191|1|1|150000|2||1|300000
3413188|1|1|1|7580.397116|34131881|1|1|200000|1|200000|2|
3413188|1|2|2|7580.397116|34131881|2||||||
3413294|1|1|1|77.111016267|34132941|1|1|405000|1|700000|2|
3413295|1|1|1|110.85688607|34132951|1|2||1|30000000|2|
3413295|1|2|2|110.85688607|34132951|2||||||
3413309|1|1|1|691.35180637|34133091|2||||||
3413419|1|1|1|161.37338878|34134191|1|1|50000|2||2|
3413464|1|1|1|134.62194921|34134641|2||||||
3413495|1|1|1|184.77723112|34134951|1|1|20000|2||2|
3413548|1|1|1|755.05376247|34135481|1|1|600000|1|700000|2|
3413548|1|2|2|755.05376247|34135481|1|1|600000|1|700000|2|
3413553|1|1|1|1087.4568409|34135531|1|1|80000|1|150000|2|
3413556|1|1|1|1343.1169357|34135561|1|1|150000|1|1300000|2|
3413557|1|1|1|818.65852502|34135571|1|1|95000|1|80000|2|
3413792|1|1|1|146.15366565|34137921|2||||||
3413950|1|1|1|184.48131595|34139501|1|1|260000|2||2|
3413962|1|1|1|71.040207298|34139621|1|1|20000|2||2|
3414191|1|1|1|358.83227934|34141911|1|1|50000|1|1000000|2|
3415634|1|1|1|8274.3114764|34156341|1|1|1800000|2||2|
3415636|1|1|1|71.156931638|34156361|1|1|20000|2||1|500000
3415716|1|1|1|324.00130021|34157161|1|1|400000|2||1|900000
3415725|1|1|1|313.02564413|34157251|1|2||1|2200000|2|
3415824|1|1|1|247.54974375|34158241|1|1|400000|2||1|300000
3415958|1|1|1|277.21060006|34159581|1|1|30000|1|70000|2|
3415976|1|1|1|309.53039852|34159761|2||||||
3416014|1|1|1|335.36206006|34160141|2||||||
3416026|1|1|1|684.39322767|34160261|1|1|65000|1|50000|2|
3416084|1|1|1|627.00456491|34160841|1|1|100000|1|50000|2|
3416126|1|1|1|193.24673136|34161261|1|1|150000|1|100000|2|
3416204|1|1|1|2752.8715062|34162041|1|1|150000|1|160000|2|
3416337|1|1|1|455.82349865|34163371|1|1|98|1|98|1|98
3416414|1|1|1|294.49806987|34164141|1|1|200000|2||2|
3416588|1|1|1|362.52055204|34165881|1|2||2||2|
3416595|1|1|1|307.37161112|34165951|1|1|300000|2||2|
3416707|1|1|1|66.483698924|34167071|2||||||
3417022|1|1|1|726.30411881|34170221|1|1|100000|2||2|
3417068|1|1|1|344.98266059|34170681|1|1|200000|1|4000000|2|
3417111|1|1|1|1667.4278768|34171111|1|1|70000|1|830000|2|
3417285|1|1|1|6075.7514729|34172851|1|2||1|1500000|2|
3417291|1|1|1|5889.6594061|34172911|1|2||1|2000000|2|
3417293|1|1|1|7653.3714261|34172931|2||||||
3417295|1|1|1|599.22650514|34172951|1|1|450000|1|2000000|2|
3417335|1|1|1|190.91109311|34173351|1|1|40000|2||2|
3417336|1|1|1|76.654225326|34173361|1|1|80000|1|200000|2|
3417380|1|1|1|495.94406066|34173801|1|1|600000|1|400000|1|1000000
3417381|1|1|1|440.37245018|34173811|1|1|300000|2||1|1700000
3417382|1|1|1|895.31195764|34173821|1|1|250000|2||1|1300000
3417382|1|2|2|895.31195764|34173821|1|1|320000|2||1|1300000
3417382|1|3|3|895.31195764|34173821|1|1|185000|1|150000|2|
3417383|1|1|1|405.12937945|34173831|1|1|600000|1|300000|1|2000000
3417384|1|1|1|468.46306569|34173841|1|1|490000|2||2|
3417385|1|1|1|334.17977873|34173851|2||||||
3417408|1|1|1|59.246297997|34174081|2||||||
3417441|1|1|1|153.03288457|34174411|2||||||
3417500|1|1|1|291.16631143|34175001|1|1|450000|1|200000|2|
3417506|1|1|1|305.00061829|34175061|1|1|3000000|1|300000|2|
3417557|1|1|1|214.61582499|34175571|1|1|150000|2||1|70000
3417816|1|1|1|334.81526711|34178161|1|1|200000|2||2|
3417828|1|1|1|303.01396907|34178281|1|1|300000|2||2|
3417938|1|1|1|985.19313047|34179381|1|1|200000|2||2|
3417947|1|1|1|158.98568782|34179471|1|1|200000|2||2|
3417965|1|1|1|410.30939708|34179651|1|1|300000|2||2|
3417965|1|2|2|410.30939708|34179651|1|1|300000|2||2|
3417981|1|1|1|379.4763501|34179811|1|1|500000|2||2|
3418040|1|1|1|1820.8934129|34180401|2||||||
3418058|1|1|1|24.29958099|34180581|1|1|350000|2||2|
3418170|1|1|1|5816.6428208|34181701|1|1|600000|1|1000000|2|
3418178|1|1|1|5575.490251|34181781|1|1|160000|2||2|
3418310|1|1|1|295.9623393|34183101|1|1|250000|2||2|
3418349|1|1|1|60.811185636|34183491|1|1|600000|2||1|2100000
3418399|1|1|1|329.6182569|34183991|2||||||
3418399|1|2|2|329.6182569|34183991|2||||||
3418405|1|1|1|205.61251997|34184051|1|1|2000000|1|1200000|2|
3418408|1|1|1|351.76048484|34184081|1|1|98|2||2|
3418510|1|1|1|364.55927262|34185101|1|1|700000|1|500000|2|
3418568|1|1|1|226.32724357|34185681|1|1|150000|2||2|
3418586|1|1|1|1998.9556903|34185861|1|1|100000|2||2|
3418587|1|1|1|2127.672138|34185871|2||||||
3418676|1|1|1|5566.1923364|34186761|1|1|120000|2||2|
3418869|1|1|1|246.88814645|34188691|1|1|240000|1|300000|2|
3418872|1|1|1|240.65080458|34188721|1|1|120000|2||2|
3418895|1|1|1|648.75544605|34188951|2||||||
3418931|1|1|1|362.19083148|34189311|1|1|200000|2||2|
3419272|1|1|1|215.07145313|34192721|1|1|300000|1|900000|2|
3419384|1|1|1|3598.4756267|34193841|1|1|80000|1|600000|2|
3419407|1|1|1|145.84535292|34194071|1|1|10000|1|100000|2|
3419441|1|1|1|179.4581491|34194411|1|1|1000000|1|1000000|1|1200000
3419454|1|1|1|299.0120622|34194541|1|1|150000|2||2|
3419455|1|1|1|205.21386103|34194551|2||||||
3419580|1|1|1|373.63892224|34195801|1|1|40000|2||2|
3425297|1|1|1|126.48087878|34252971|1|1|120000|1|380000|2|
3437227|1|1|1|2475.4075251|34372271|1|1|120000|2||2|
3437259|1|1|1|3134.740316|34372591|1|1|80000|2||2|
3437296|1|1|1|1701.0612344|34372961|1|1|100000|2||2|
3437299|1|1|1|1647.8547855|34372991|1|1|230000|2||2|
3437593|1|1|1|3550.9116923|34375931|1|1|600000|1|450000|2|
3437601|1|1|1|9077.783066|34376011|2||||||
3437602|1|1|1|6161.9478159|34376021|1|1|400000|1|1000000|2|
3437857|1|1|1|105.56979136|34378571|1|2||1|120000|2|
3437933|1|1|1|102.42066102|34379331|1|1|30000|2||2|
3438175|1|1|1|48.172212127|34381751|1|1|50000|1|150000|2|
3438417|1|1|1|282.81231008|34384171|1|1|150000|1|300000|2|
3438532|1|1|1|468.70153739|34385321|1|1|200000|1|600000|2|
3438878|1|1|1|91.801058521|34388781|1|1|28000|2||1|900000
3438916|1|1|1|147.42956629|34389161|2||||||
3438974|1|1|1|215.1104676|34389741|1|1|2000000|1|500000|1|1300000
3438994|1|1|1|294.1402516|34389941|1|1|300000|2||1|1300000
3439110|1|1|1|83.174850017|34391101|1|1|400000|2||1|1300000
3439130|1|1|1|141.60933367|34391301|1|1|1000000|2||2|
3439204|1|1|1|48.308497334|34392041|1|1|300000|2||2|
3439681|1|1|1|266.08779736|34396811|1|1|220000|1|350000|2|
3439682|1|1|1|305.56388797|34396821|1|1|200000|1|250000|2|
3439691|1|1|1|256.86704365|34396911|1|1|50000|1|200000|2|
3439693|1|1|1|165.87906789|34396931|1|1|450000|2||2|
3439717|1|1|1|318.42973589|34397171|1|1|60000|2||2|
3440003|1|1|1|350.10159663|34400031|1|2||1|10000000|2|
3440003|1|2|2|350.10159663|34400031|2||||||
3440004|1|1|1|304.91860491|34400041|2||||||
3440061|1|1|1|209.17629197|34400611|1|1|750000|1|750000|2|
3440069|1|1|1|187.73710784|34400691|1|1|98|2||2|
3440221|1|1|1|719.29892993|34402211|1|2||2||1|2000000
3440482|1|1|1|97.992285431|34404821|2||||||
3440550|1|1|1|265.60562299|34405501|1|1|200000|1|300000|1|500000
3440592|1|1|1|411.88571817|34405921|1|1|600000|2||2|
3440776|1|1|1|1454.4241253|34407761|1|1|45000|2||2|
3440833|1|1|1|4338.3735814|34408331|2||||||
3440886|1|1|1|1419.8451673|34408861|2||||||
3440899|1|1|1|3616.6979619|34408991|2||||||
3444929|1|1|1|3550.9116923|34449291|1|1|500000|1|1350000|2|
3444987|1|1|1|218.65792211|34449871|1|2||1|1000000|2|
3444993|1|1|1|3453.9838461|34449931|2||||||
