Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P6240|P6250|P6260|P6270|P6280|P6300|P6310|P7430|P6330|P6340|P6351
3441060|1|1|1|3169.4014141|34410601|1||||||||||
3441060|1|2|2|3169.4014141|34410601|4|2|2|1|||||||
3441060|1|3|3|3169.4014141|34410601|3|2|2|2|2|2|||||
3441061|1|1|1|2200.2336794|34410611|1||||||||||
3441061|1|2|2|2200.2336794|34410611|1||||||||||
3441061|1|3|3|2200.2336794|34410611|1||||||||||
3441062|1|1|1|3548.8514512|34410621|1||||||||||
3441062|1|2|2|3548.8514512|34410621|1||||||||||
3441063|1|1|1|2200.2336794|34410631|1||||||||||
3441063|1|2|2|2200.2336794|34410631|4|1|||||||||
3441063|1|3|3|2200.2336794|34410631|1||||||||||
3441064|1|1|1|3721.7037922|34410641|3|1|||||||||
3441064|1|2|2|3721.7037922|34410641|3|2|2|2|2|2|||||
3441065|1|1|1|4189.8735954|34410651|1||||||||||
3441065|1|2|2|4189.8735954|34410651|1||||||||||
3441065|1|3|3|4189.8735954|34410651|3|2|2|2|2|2|||||
3441066|1|1|1|1717.2947953|34410661|5||||||||||
3441067|1|1|1|2337.5139472|34410671|1||||||||||
3441067|1|2|2|2337.5139472|34410671|4|2|2|2|2|2|||||
3441069|1|1|1|3669.6625066|34410691|1||||||||||
3441069|1|2|2|3669.6625066|34410691|4|2|2|2|2|2|||||
3441069|1|3|3|3669.6625066|34410691|3|2|2|2|2|2|||||
3441069|1|4|4|3669.6625066|34410691|3|2|2|2|2|2|||||
3441070|1|1|1|2757.3222047|34410701|1||||||||||
3441072|1|1|1|2408.7793279|34410721|4|2|2|2|2|1|9||||
3441072|2|1|1|2408.7793279|34410722|1||||||||||
3441073|1|1|1|5426.2079657|34410731|4|2|2|2|2|2|||||
3441073|1|2|2|5426.2079657|34410731|1||||||||||
3441073|1|3|3|5426.2079657|34410731|4|2|2|2|2|2|||||
3441073|1|5|5|5426.2079657|34410731|1||||||||||
3441073|1|6|6|5426.2079657|34410731|4|2|2|2|2|2|||||
3441075|1|1|1|4145.4383654|34410751|4|2|2|2|2|2|||||
3441075|1|2|2|4145.4383654|34410751|3|2|2|2|2|1|12||||
3441076|1|1|1|2309.6453685|34410761|1||||||||||
3441076|1|2|2|2309.6453685|34410761|3|2|2|2|2|2|||||
3441077|1|1|1|3457.1423815|34410771|4|2|2|2|2|2|||||
3441077|1|2|2|3457.1423815|34410771|1||||||||||
3441077|1|3|3|3457.1423815|34410771|2|2|2|2|1||||||1
3441077|1|4|4|3457.1423815|34410771|5||||||||||
3441078|1|1|1|5424.2371661|34410781|4|2|2|2|2|2|||||
3441078|1|2|2|5424.2371661|34410781|2|2|2|2|1||||||1
3441078|1|3|3|5424.2371661|34410781|3|2|2|2|2|2|||||
3441078|1|4|4|5424.2371661|34410781|3|2|2|2|2|2|||||
3441078|1|5|5|5424.2371661|34410781|3|2|2|2|2|2|||||
3441079|1|1|1|2709.2623887|34410791|1||||||||||
3441079|1|3|3|2709.2623887|34410791|1||||||||||
3441079|1|4|4|2709.2623887|34410791|1||||||||||
3441082|1|5|5|3754.5480313|34410821|4|2|2|2|2|2|||||
3441082|1|1|1|3754.5480313|34410821|2|1|||||||||
3441082|1|2|2|3754.5480313|34410821|1||||||||||
3441082|1|3|3|3754.5480313|34410821|3|2|2|2|2|2|||||
3441082|1|4|4|3754.5480313|34410821|3|2|2|2|2|2|||||
3441083|1|1|1|2015.4482141|34410831|1||||||||||
3441083|1|2|2|2015.4482141|34410831|4|2|2|2|2|2|||||
3441083|1|3|3|2015.4482141|34410831|6|2|2|2|2|2|||||
3441083|1|4|4|2015.4482141|34410831|6|2|2|2|2|2|||||
3441084|1|1|1|2154.1012845|34410841|1||||||||||
3441084|1|2|2|2154.1012845|34410841|1||||||||||
3441084|1|3|3|2154.1012845|34410841|4|2|2|2|2|2|||||
3441085|1|1|1|2292.754355|34410851|4|2|2|2|2|2|||||
3441085|1|2|2|2292.754355|34410851|4|2|2|2|2|2|||||
3441086|1|1|1|2499.5421572|34410861|4|2|2|2|2|2|||||
3441087|1|1|1|4737.4972447|34410871|1||||||||||
3441087|1|2|2|4737.4972447|34410871|1||||||||||
3441087|1|3|3|4737.4972447|34410871|1||||||||||
3441087|1|4|4|4737.4972447|34410871|1||||||||||
3441087|1|5|5|4737.4972447|34410871|1||||||||||
3441087|1|6|6|4737.4972447|34410871|3|2|2|2|2|2|||||
3441088|1|2|2|3343.1820385|34410881|1||||||||||
3441088|1|1|1|3343.1820385|34410881|4|2|2|2|1||||||2
3441089|1|1|1|2154.1012845|34410891|1||||||||||
3441089|1|2|2|2154.1012845|34410891|1||||||||||
3441089|1|3|3|2154.1012845|34410891|1||||||||||
3441090|1|1|1|2015.4482141|34410901|4|2|2|2|2|2|||||
3441090|1|2|2|2015.4482141|34410901|4|2|2|2|2|1|8|2||2|
3441090|1|3|3|2015.4482141|34410901|1||||||||||
3441090|1|4|4|2015.4482141|34410901|1||||||||||
3441091|1|2|2|2340.7228348|34410911|4|1|||||||||
3441091|1|3|3|2340.7228348|34410911|6|2|2|2|2|2|||||
3441091|1|4|4|2340.7228348|34410911|2|2|2|2|1||||||1
3441091|1|5|5|2340.7228348|34410911|2|1|||||||||
3441091|1|6|6|2340.7228348|34410911|2|1|||||||||
3441091|1|1|1|2340.7228348|34410911|1||||||||||
3441092|1|1|1|2593.6806579|34410921|1||||||||||
3441092|1|2|2|2593.6806579|34410921|4|2|2|2|2|2|||||
3441092|1|3|3|2593.6806579|34410921|3|2|2|2|2|2|||||
3441092|1|4|4|2593.6806579|34410921|5||||||||||
3441093|1|1|1|2239.4122265|34410931|4|2|2|2|2|2|||||
3441093|1|2|2|2239.4122265|34410931|1||||||||||
3441093|1|3|3|2239.4122265|34410931|1||||||||||
3441094|1|1|1|1519.6662981|34410941|1||||||||||
3441094|1|2|2|1519.6662981|34410941|4|2|2|2|2|2|||||
3441094|1|3|3|1519.6662981|34410941|1||||||||||
3441094|1|4|4|1519.6662981|34410941|3|2|2|2|2|2|||||
3441095|1|1|1|1942.7578374|34410951|1||||||||||
3441095|1|2|2|1942.7578374|34410951|1||||||||||
3441095|1|3|3|1942.7578374|34410951|1||||||||||
3441096|1|1|1|1942.7578374|34410961|5||||||||||
3441096|1|2|2|1942.7578374|34410961|4|2|2|2|2|2|||||
3441096|1|3|3|1942.7578374|34410961|1||||||||||
3441097|1|1|1|1748.5161853|34410971|1||||||||||
3441097|1|2|2|1748.5161853|34410971|4|2|2|2|2|2|||||
3441097|1|3|3|1748.5161853|34410971|1||||||||||
3441098|1|1|1|2984.6892463|34410981|1||||||||||
3441098|1|2|2|2984.6892463|34410981|3|2|2|2|2|2|||||
3441099|1|1|1|1659.0152539|34410991|1||||||||||
3441099|1|2|2|1659.0152539|34410991|4|2|2|2|2|2|||||
3441100|1|1|1|3226.7002856|34411001|1||||||||||
3441100|1|2|2|3226.7002856|34411001|1||||||||||
3441100|1|3|3|3226.7002856|34411001|1||||||||||
3441100|1|4|4|3226.7002856|34411001|2|2|2|2|1||||||1
3441101|1|1|1|2598.5339258|34411011|1||||||||||
3441102|1|1|1|2755.1957517|34411021|4|2|2|2|2|2|||||
3441102|1|2|2|2755.1957517|34411021|1||||||||||
3441102|1|3|3|2755.1957517|34411021|1||||||||||
3441103|1|1|1|2598.5339258|34411031|1||||||||||
3441104|1|1|1|2089.3753343|34411041|1||||||||||
3441105|1|1|1|7043.5326831|34411051|1||||||||||
3441105|1|2|2|7043.5326831|34411051|1||||||||||
3441107|1|1|1|1760.8831708|34411071|1||||||||||
3441107|1|2|2|1760.8831708|34411071|4|2|2|2|2|2|||||
3441107|1|3|3|1760.8831708|34411071|5||||||||||
3441108|1|1|1|4027.2654919|34411081|4|2|2|2|2|2|||||
3441108|1|2|2|4027.2654919|34411081|1||||||||||
3441109|1|1|1|4986.2725672|34411091|1||||||||||
3441109|1|2|2|4986.2725672|34411091|1||||||||||
3441109|1|3|3|4986.2725672|34411091|3|2|2|2|2|2|||||
3441110|1|1|1|2594.8744847|34411101|4|2|2|2|2|2|||||
3441110|1|2|2|2594.8744847|34411101|1||||||||||
3441110|1|3|3|2594.8744847|34411101|1||||||||||
3441111|1|2|2|2594.8744847|34411111|4|2|2|2|2|2|||||
3441111|1|3|3|2594.8744847|34411111|2|2|2|2|1||||||1
3441111|1|1|1|2594.8744847|34411111|4|2|2|2|2|2|||||
3441112|1|1|1|3402.8320922|34411121|1||||||||||
3441112|1|2|2|3402.8320922|34411121|1||||||||||
3441112|1|3|3|3402.8320922|34411121|3|2|2|2|2|2|||||
3441113|1|1|1|2089.3753343|34411131|1||||||||||
3441115|1|1|1|1596.394625|34411151|4|1|||||||||
3441115|1|2|2|1596.394625|34411151|4|2|2|2|2|2|||||
3441115|1|3|3|1596.394625|34411151|1||||||||||
3441115|1|4|4|1596.394625|34411151|1||||||||||
3441116|1|1|1|2205.8577638|34411161|1||||||||||
3441117|1|1|1|3169.9783256|34411171|4|2|2|2|2|2|||||
3441117|1|2|2|3169.9783256|34411171|1||||||||||
3441117|1|3|3|3169.9783256|34411171|3|2|2|2|2|1|12||||
3441117|1|4|4|3169.9783256|34411171|3|2|2|2|2|2|||||
3441118|1|1|1|1816.0430535|34411181|4|2|2|2|2|2|||||
3441118|1|2|2|1816.0430535|34411181|4|2|2|2|2|2|||||
3441119|1|1|1|3048.6391697|34411191|4|2|2|2|2|2|||||
3441119|1|2|2|3048.6391697|34411191|4|2|2|2|2|2|||||
3441119|1|3|3|3048.6391697|34411191|1||||||||||
3441119|1|4|4|3048.6391697|34411191|1||||||||||
3441119|1|5|5|3048.6391697|34411191|3|2|2|2|2|2|||||
3441120|1|1|1|2096.0335495|34411201|1||||||||||
3441120|1|2|2|2096.0335495|34411201|4|2|2|2|2|2|||||
3441122|1|1|1|1920.6299629|34411221|1||||||||||
3441122|1|2|2|1920.6299629|34411221|4|2|2|2|2|2|||||
3441122|1|3|3|1920.6299629|34411221|2|2|2|2|1||||||1
3441122|1|4|4|1920.6299629|34411221|3|2|2|2|2|2|||||
3441122|1|5|5|1920.6299629|34411221|3|2|2|2|2|2|||||
3441123|1|1|1|3015.5324592|34411231|4|2|2|2|2|2|||||
3441123|1|2|2|3015.5324592|34411231|3|2|2|2|2|2|||||
3441123|1|3|3|3015.5324592|34411231|3|2|2|2|2|2|||||
3441124|1|1|1|2648.064981|34411241|4|2|2|2|2|2|||||
3441124|1|2|2|2648.064981|34411241|4|2|2|2|2|2|||||
3441125|1|1|1|1979.835372|34411251|1||||||||||
3441128|1|1|1|1206.0843636|34411281|1||||||||||
3441128|1|2|2|1206.0843636|34411281|1||||||||||
3441129|1|1|1|2436.9189963|34411291|6|2|2|2|2|2|||||
3441129|1|2|2|2436.9189963|34411291|5||||||||||
3441129|1|3|3|2436.9189963|34411291|4|2|2|2|2|2|||||
3441129|1|4|4|2436.9189963|34411291|3|2|2|2|2|2|||||
3441130|1|1|1|1712.488298|34411301|1||||||||||
3441130|1|2|2|1712.488298|34411301|1||||||||||
3441131|1|1|1|1206.0843636|34411311|5||||||||||
3441131|1|2|2|1206.0843636|34411311|4|2|2|2|2|2|||||
3441131|1|3|3|1206.0843636|34411311|1||||||||||
3441131|1|4|4|1206.0843636|34411311|1||||||||||
3441131|1|5|5|1206.0843636|34411311|3|2|2|2|2|2|||||
3441132|1|1|1|3219.0335398|34411321|4|2|2|2|2|2|||||
3441132|1|2|2|3219.0335398|34411321|4|2|2|2|2|2|||||
3441132|1|3|3|3219.0335398|34411321|1||||||||||
3441133|1|1|1|3331.5861569|34411331|3|2|2|2|2|2|||||
3441133|1|2|2|3331.5861569|34411331|3|2|2|2|2|2|||||
3441133|1|3|3|3331.5861569|34411331|3|2|2|2|2|2|||||
3441134|1|1|1|2522.9610305|34411341|1||||||||||
3441134|1|2|2|2522.9610305|34411341|4|2|2|2|2|2|||||
3441135|1|1|1|1431.0789961|34411351|4|2|2|2|2|2|||||
3441137|1|1|1|2083.7837675|34411371|1||||||||||
3441137|1|2|2|2083.7837675|34411371|1||||||||||
3441137|1|3|3|2083.7837675|34411371|3|1|||||||||
3441137|1|4|4|2083.7837675|34411371|3|2|2|2|2|2|||||
3441138|1|1|1|1947.9282894|34411381|1||||||||||
3441138|1|2|2|1947.9282894|34411381|1||||||||||
3441139|1|1|1|4087.5857715|34411391|4|2|2|2|2|2|||||
3441140|1|1|1|4921.1263276|34411401|1||||||||||
3441141|1|1|1|2083.0876215|34411411|6|2|2|2|2|2|||||
3441141|1|2|2|2083.0876215|34411411|4|2|2|2|2|2|||||
3441141|1|3|3|2083.0876215|34411411|1||||||||||
3441142|1|1|1|3269.3963285|34411421|1||||||||||
3441143|1|1|1|3542.6877062|34411431|4|2|2|2|2|2|||||
3441143|1|2|2|3542.6877062|34411431|1||||||||||
3441143|1|3|3|3542.6877062|34411431|2|2|2|2|1||||||1
3441144|1|1|1|2036.2209716|34411441|1||||||||||
3441147|1|1|1|1920.3124468|34411471|1||||||||||
