Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|area|P5747|P8520S1|P8520S1A1|P8520S2|P8520S3|P8520S4|P8520S5
3441060|1|1|1|3169.4014141|05|2|1|2|1|1|1|1
3441061|1|1|1|2200.2336794|05|2|1|2|1|1|1|1
3441062|1|1|1|3548.8514512|05|2|1|2|2|1|1|1
3441063|1|1|1|2200.2336794|05|2|1|2|2|1|1|1
3441064|1|1|1|3721.7037922|05|2|1|2|2|1|1|1
3441065|1|1|1|4189.8735954|05|2|1|2|2|1|1|1
3441066|1|1|1|1717.2947953|05|2|1|2|1|1|1|1
3441067|1|1|1|2337.5139472|05|2|1|2|1|1|1|1
3441069|1|1|1|3669.6625066|05|2|1|2|1|1|1|1
3441070|1|1|1|2757.3222047|05|2|1|2|1|1|1|1
3441072|1|1|1|2408.7793279|05|1|1|1|2|1|1|1
3441073|1|1|1|5426.2079657|05|2|1|2|1|1|1|1
3441075|1|1|1|4145.4383654|05|2|1|1|1|1|1|1
3441076|1|1|1|2309.6453685|05|2|1|2|1|1|1|1
3441077|1|1|1|3457.1423815|05|1|1|2|1|1|1|1
3441078|1|1|1|5424.2371661|05|1|1|2|1|1|1|1
3441079|1|1|1|2709.2623887|05|2|1|2|1|1|1|1
3441082|1|1|1|3754.5480313|05|2|1|3|2|1|1|1
3441083|1|1|1|2015.4482141|05|2|1|2|1|1|1|1
3441084|1|1|1|2154.1012845|05|2|1|3|1|1|1|1
3441085|1|1|1|2292.754355|05|2|1|3|1|1|1|1
3441086|1|1|1|2499.5421572|05|2|1|3|2|1|1|1
3441087|1|1|1|4737.4972447|05|2|1|3|1|1|1|1
3441088|1|1|1|3343.1820385|05|2|1|3|2|1|1|1
3441089|1|1|1|2154.1012845|05|2|1|3|1|1|1|1
3441090|1|1|1|2015.4482141|05|2|1|3|1|1|1|1
3441091|1|1|1|2340.7228348|05|2|1|3|1|1|1|1
3441092|1|1|1|2593.6806579|05|2|1|3|2|1|1|1
3441093|1|1|1|2239.4122265|05|2|1|4|1|1|1|1
3441094|1|1|1|1519.6662981|05|2|1|4|1|1|1|1
3441095|1|1|1|1942.7578374|05|2|1|4|1|1|1|1
3441096|1|1|1|1942.7578374|05|2|1|4|1|1|1|1
3441097|1|1|1|1748.5161853|05|2|1|4|1|1|1|1
3441098|1|1|1|2984.6892463|05|2|1|4|1|1|2|1
3441099|1|1|1|1659.0152539|05|2|1|4|1|1|1|1
3441100|1|1|1|3226.7002856|05|2|1|3|1|1|1|1
3441101|1|1|1|2598.5339258|05|2|1|3|1|1|1|1
3441102|1|1|1|2755.1957517|05|2|1|3|1|1|1|1
3441103|1|1|1|2598.5339258|05|2|1|4|1|1|1|1
3441104|1|1|1|2089.3753343|05|2|1|2|1|1|1|1
3441105|1|1|1|7043.5326831|05|2|1|2|1|1|1|1
3441107|1|1|1|1760.8831708|05|2|1|2|2|1|1|1
3441108|1|1|1|4027.2654919|05|2|1|2|1|1|1|1
3441109|1|1|1|4986.2725672|05|2|1|2|1|1|1|1
3441110|1|1|1|2594.8744847|05|2|1|2|1|1|1|1
3441111|1|1|1|2594.8744847|05|2|1|2|1|1|1|1
3441112|1|1|1|3402.8320922|05|2|1|2|1|1|1|1
3441113|1|1|1|2089.3753343|05|2|1|1|2|1|1|1
3441115|1|1|1|1596.394625|05|2|1|4|1|1|1|1
3441116|1|1|1|2205.8577638|05|1|1|4|2|1|1|1
3441117|1|1|1|3169.9783256|05|2|1|4|1|1|1|1
3441118|1|1|1|1816.0430535|05|2|1|2|1|1|1|1
3441119|1|1|1|3048.6391697|05|2|1|2|1|1|1|1
3441120|1|1|1|2096.0335495|05|2|1|2|2|1|1|1
3441122|1|1|1|1920.6299629|05|2|1|2|1|2|1|1
3441123|1|1|1|3015.5324592|05|2|1|4|1|1|1|1
3441124|1|1|1|2648.064981|05|1|1|2|1|1|1|1
3441125|1|1|1|1979.835372|05|1|1|2|1|1|1|1
3441128|1|1|1|1206.0843636|05|2|1|5|1|1|1|1
3441129|1|1|1|2436.9189963|05|2|1|5|1|1|1|1
3441130|1|1|1|1712.488298|05|2|1|5|1|1|1|1
3441131|1|1|1|1206.0843636|05|2|1|5|1|1|1|1
3441132|1|1|1|3219.0335398|05|2|1|5|1|1|1|1
3441133|1|1|1|3331.5861569|05|2|1|5|1|1|1|1
3441134|1|1|1|2522.9610305|05|2|1|5|1|1|1|1
3441135|1|1|1|1431.0789961|05|2|1|5|1|1|1|1
3441137|1|1|1|2083.7837675|05|2|1|5|1|1|1|1
3441138|1|1|1|1947.9282894|05|2|1|5|1|1|1|1
3441139|1|1|1|4087.5857715|05|2|1|2|1|1|1|1
3441140|1|1|1|4921.1263276|05|2|1|2|1|1|1|1
3441141|1|1|1|2083.0876215|05|2|1|3|1|1|1|1
3441142|1|1|1|3269.3963285|05|2|1|2|1|1|1|1
3441143|1|1|1|3542.6877062|05|2|1|2|1|1|1|1
3441144|1|1|1|2036.2209716|05|2|1|2|1|1|1|1
3441147|1|1|1|1920.3124468|05|2|1|2|1|1|1|1
3441148|1|1|1|3031.321048|05|2|1|2|1|1|1|1
3441149|1|1|1|2515.1980735|05|2|1|3|1|1|1|1
3441150|1|1|1|2591.0881268|05|2|1|3|1|1|1|1
3441151|1|1|1|4526.7974706|05|2|1|3|1|1|1|1
3441152|1|1|1|2667.0418551|05|2|1|3|1|1|1|1
3441154|1|1|1|2247.4641482|05|2|1|3|1|1|1|1
3441155|1|1|1|2361.5123707|05|2|1|3|1|1|1|1
3441157|1|1|1|2123.8912996|05|2|1|3|1|1|1|1
3441158|1|1|1|1885.8908632|05|2|1|3|1|1|1|1
3441159|1|1|1|1345.4645132|05|2|1|3|1|1|1|1
