Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P36|P36S1|P6007|P6007S1|P543|P544S1|P544S2|P544S3|P544S4|P544S5|P544S6|P544S7|P544S8|P544S9|P545|P546|P547
3469422|1|1|1|2984.9232373|34694221|2||2||1|1|2|2|2|2|2|2|2||1||800000
3469423|1|1|1|3410.565749|34694231|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3469424|1|1|1|3051.8395807|34694241|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3469425|1|1|1|3223.1809037|34694251|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3469426|1|1|1|4211.4611476|34694261|2||2||1|1|2|2|2|2|2|2|2||1||3500000
3469427|1|1|1|1865.6779697|34694271|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3469428|1|1|1|3608.8716302|34694281|2||2||1|1|2|2|2|2|2|2|2||1||1800000
3469429|1|1|1|2236.2252474|34694291|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3469430|1|1|1|2594.9514157|34694301|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3469431|1|1|1|2874.5877031|34694311|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3469432|1|1|1|5609.747501|34694321|2||2||1|1|2|2|2|2|2|2|1||1||1500000
3469433|1|1|1|3223.1809037|34694331|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3469434|1|1|1|4817.7365586|34694341|2||2||1|1|2|2|2|2|2|2|2||1||2100000
3469436|1|1|1|2048.5699819|34694361|2||2||1|1|2|2|2|2|2|2|2||1||4000000
3469437|1|1|1|2967.4013973|34694371|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3469438|1|1|1|2530.286374|34694381|2||2||1|1|2|2|2|2|2|2|1||1||2000000
3469439|1|1|1|3218.7459559|34694391|2||2||1|2|2|1|2|2|2|2|2||3||3000000
3469440|1|1|1|2734.4401684|34694401|2||2||1|2|2|1|2|2|2|2|2||3||3000000
3469441|1|1|1|2757.5555769|34694411|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3469442|1|1|1|3281.0481693|34694421|2||2||1|1|2|2|2|2|2|2|2||1||3500000
3469443|1|1|1|2805.0238031|34694431|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3469444|1|1|1|2716.6438297|34694441|2||2||1|1|2|2|2|2|2|2|2||1||4500000
3469445|1|1|1|3726.3997609|34694451|2||2||1|1|2|2|2|2|2|2|2||1||3500000
3469446|1|1|1|4077.4950946|34694461|2||2||1|1|2|1|2|2|2|2|2||3||2600000
3469447|1|1|1|2674.6994899|34694471|2||2||1|2|2|1|2|2|2|2|2||3||4000000
3469449|1|1|1|3199.5072601|34694491|2||2||1|1|2|2|2|2|2|2|2||1||4000000
3469450|1|1|1|2810.4189211|34694501|2||2||1|1|2|1|2|2|2|2|2||1||99
3469451|1|1|1|2700.1960711|34694511|2||2||1|1|2|1|2|2|2|2|2||1||99
3469452|1|1|1|2982.4407939|34694521|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3469453|1|1|1|2872.8440039|34694531|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3469454|1|1|1|5639.5843639|34694541|2||2||1|1|2|2|2|2|2|2|2||1||8000000
3469455|1|1|1|3091.2993412|34694551|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3469456|1|1|1|2700.3702665|34694561|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3469457|1|1|1|2261.6534449|34694571|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3469458|1|1|1|2663.3456776|34694581|2||2||1|1|2|2|2|2|2|2|2||1||2300000
3469459|1|1|1|2594.6702512|34694591|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3469460|1|1|1|2891.4696422|34694601|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3469461|1|1|1|3417.8773591|34694611|2||2||1|1|2|2|1|2|2|2|2||1||1400000
3469462|1|1|1|3252.2563416|34694621|2||2||1|1|2|1|2|2|2|2|2||1||3000000
3469463|1|1|1|3252.2563416|34694631|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3469464|1|1|1|2709.8891149|34694641|2||2||2|1|2|2|2|2|2|2|2||1||2800000
3469465|1|1|1|3157.7696108|34694651|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3469466|1|1|1|2841.7072234|34694661|2||2||1|2|2|1|2|2|2|2|2||3||1900000
3469467|1|1|1|3257.3245401|34694671|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3469469|1|1|1|2755.6707994|34694691|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3469470|1|1|1|3295.9694644|34694701|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3469471|1|1|1|2736.6655658|34694711|2||1|1|1|1|2|2|2|2|2|2|2||1||3000000
3469472|1|1|1|3936.331938|34694721|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3469474|1|1|1|2736.6655658|34694741|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3469475|1|1|1|1944.910486|34694751|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3469476|1|1|1|3083.8070925|34694761|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3469477|1|1|1|3578.4107529|34694771|2||2||1|1|2|1|2|2|2|2|2||1||5000000
3469478|1|1|1|2025.1011887|34694781|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3469479|1|1|1|2193.7846116|34694791|2||1|3|1|2|2|2|2|2|2|2|1||8||1800000
3469480|1|1|1|2259.8740898|34694801|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3469481|1|1|1|2442.2099214|34694811|2||2||1|2|2|1|2|2|2|2|2||3||4000000
3469482|1|1|1|2246.7475715|34694821|2||2||1|2|2|1|2|2|2|2|2||3||99
3469483|1|1|1|2887.8843567|34694831|2||2||1|1|2|2|2|2|2|2|2||1||5000000
3469484|1|1|1|1241.9165693|34694841|2||2||1|1|2|2|2|2|2|2|2||1||6000000
3469485|1|1|1|2692.4220068|34694851|1|1|2||1|1|2|2|2|2|2|2|2||1||8000000
3469486|1|1|1|2832.610362|34694861|2||2||1|1|2|2|2|2|2|2|2||1||6000000
3469487|1|1|1|1461.8143267|34694871|2||2||1|1|2|2|2|2|2|2|2||1||3200000
3469488|1|1|1|1461.8143267|34694881|2||2||1|1|2|2|2|2|2|2|2||1||8000000
3469489|1|1|1|2042.1438319|34694891|2||2||1|1|2|2|2|2|2|2|2||1||3900000
3469490|1|1|1|2783.6114076|34694901|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3469492|1|1|1|2774.3996188|34694921|2||2||1|2|2|1|2|2|2|2|1||3||2000000
3469493|1|1|1|2613.2615482|34694931|2||2||1|1|2|2|2|2|2|2|2||1||6000000
3469494|1|1|1|3068.8513184|34694941|2||2||1|1|2|1|2|2|2|2|2||1||8000000
3469495|1|1|1|2203.2819024|34694951|2||2||2|1|2|2|2|2|2|2|2||1||4500000
3469496|1|1|1|2944.7494782|34694961|2||2||1|1|2|2|2|2|2|2|2||1||99
3469497|1|1|1|2782.3784881|34694971|2||2||1|1|1|2|2|2|2|2|2||1||12000000
3469498|1|1|1|2178.2226945|34694981|1|1|2||1|1|2|1|2|2|2|2|2||1||25000000
3469500|1|1|1|2097.9786696|34695001|2||2||1|1|2|2|2|2|2|2|2||1||99
3469501|1|1|1|2170.8532635|34695011|2||2||1|2|2|1|2|2|2|1|2||3||14000000
3469502|1|1|1|2306.4454178|34695021|2||2||1|1|2|2|2|2|2|2|2||1||7000000
3469503|1|1|1|1762.625522|34695031|2||2||1|1|2|2|2|2|2|2|2||1||12000000
3469504|1|1|1|2097.9786696|34695041|2||2||1|1|2|2|2|2|2|1|2||1||15000000
3469505|1|1|1|3220.6254099|34695051|2||2||1|1|2|2|2|2|2|2|2||1||9000000
3469506|1|1|1|1607.2013488|34695061|2||2||1|1|2|2|2|2|2|2|2||1||4000000
3469507|1|1|1|1403.9298841|34695071|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3469508|1|1|1|1427.2100026|34695081|2||1|1|1|1|2|2|2|2|2|2|1||1||3000000
3469509|1|1|1|945.2059175|34695091|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3469510|1|1|1|1598.4970542|34695101|2||2||1|2|2|2|2|2|2|2|1||8||2000000
3469511|1|1|1|1598.4970542|34695111|2||2||1|2|2|1|2|2|2|2|1||3||3000000
3469512|1|1|1|792.22483747|34695121|2||2||1|1|1|2|2|2|2|2|2||1||1600000
3469513|1|1|1|666.37945412|34695131|2||2||1|1|2|2|2|2|2|2|2||1||1100000
3469514|1|1|1|992.64355051|34695141|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3469515|1|1|1|1418.3906406|34695151|2||2||1|1|2|1|2|2|2|2|2||1||3300000
3469516|1|1|1|1764.640151|34695161|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3469517|1|1|1|1511.6585948|34695171|2||2||1|1|2|2|2|2|2|2|2||1||1200000
3469518|1|1|1|2545.5365445|34695181|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3469518|1|2|2|2545.5365445|34695182|2||2||1|1|2|2|2|2|2|2|1||1||1100000
3469519|1|1|1|1764.640151|34695191|2||2||1|1|2|2|2|2|2|2|2||1||98
3469520|1|1|1|1080.7628577|34695201|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3469521|1|1|1|1566.3592047|34695211|2||2||1|1|2|2|2|2|2|2|2||1||3500000
3469522|1|1|1|1612.2108037|34695221|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3469523|1|1|1|1033.7337774|34695231|2||2||1|1|2|2|2|2|2|2|2||1||4000000
3469524|1|1|1|1008.7233775|34695241|2||2||1|1|2|2|2|2|2|2|2||1||1200000
3469525|1|1|1|853.96982508|34695251|2||2||2|1|2|2|2|2|2|2|2||1||1200000
3469526|1|1|1|1113.6618642|34695261|2||2||1|1|2|2|2|2|2|2|2||1||1800000
3469527|1|1|1|869.49177794|34695271|2||2||1|1|1|2|2|2|2|2|2||1||3000000
3469528|1|1|1|1114.6492028|34695281|2||2||1|1|1|2|2|2|2|2|2||1||900000
3469529|1|1|1|1796.1859053|34695291|2||2||1|1|2|2|2|2|2|2|2||1||1800000
3469530|1|1|1|961.81611106|34695301|2||2||1|1|2|2|2|2|2|2|2||1||1100000
3469531|1|1|1|1442.2815111|34695311|2||2||1|2|2|2|2|2|2|2|1||8||900000
3469533|1|1|1|1479.7170939|34695331|2||2||1|1|2|2|2|2|2|2|2||1||600000
3469534|1|1|1|1889.6142348|34695341|2||2||1|1|2|2|2|2|2|2|2||1||1200000
3469535|1|1|1|1479.7170939|34695351|2||2||1|1|2|2|2|2|2|2|2||1||1100000
3469536|1|1|1|1796.1540311|34695361|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3469537|1|1|1|1551.8821192|34695371|2||2||1|2|2|2|2|2|2|2|1||8||900000
3469538|1|1|1|1496.7507616|34695381|2||2||1|1|1|2|2|2|2|2|2||1||1800000
3469539|1|1|1|2221.8491873|34695391|2||2||1|2|2|2|2|2|2|2|1||8||1000000
3469540|1|1|1|953.92045349|34695401|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3469541|1|1|1|2269.615927|34695411|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3469542|1|1|1|666.37945412|34695421|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3469543|1|1|1|2476.5083098|34695431|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3469544|1|1|1|988.54953431|34695441|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3469545|1|1|1|521.51435539|34695451|2||2||1|1|2|1|2|2|2|2|2||1||1800000
3469546|1|1|1|2067.7656629|34695461|2||2||1|1|1|2|2|2|2|2|2||1||2700000
3469547|1|1|1|1452.7123366|34695471|2||2||1|1|2|2|2|2|2|2|1||1||1300000
3469548|1|1|1|1480.9144236|34695481|2||2||2|1|2|2|2|2|2|2|2||1||1300000
3469549|1|1|1|548.56087608|34695491|2||2||1|1|1|2|2|2|2|2|2||1||1800000
3469550|1|1|1|1554.7042013|34695501|2||2||2|1|2|2|2|2|2|2|2||1||1300000
3469551|1|1|1|521.51435539|34695511|2||2||1|1|2|2|2|2|2|2|2||1||1400000
3469552|1|1|1|521.51435539|34695521|2||2||1|1|2|2|2|2|2|2|2||1||1800000
3469553|1|1|1|814.73811256|34695531|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3469554|1|1|1|1239.4631353|34695541|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3469555|1|1|1|856.01283435|34695551|2||2||1|1|1|2|2|2|2|2|2||1||1800000
3469556|1|1|1|2194.7258226|34695561|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3469557|1|1|1|1886.9075984|34695571|2||2||1|1|2|1|2|2|2|2|2||1||1700000
3469558|1|1|1|2192.7964285|34695581|2||2||1|1|2|2|2|2|2|2|2||1||4400000
3469559|1|1|1|680.4005059|34695591|2||2||1|1|1|2|2|2|2|2|2||1||1600000
3469560|1|1|1|1214.9769466|34695601|2||2||2|1|2|2|2|2|2|2|2||1||2600000
3469561|1|1|1|1050.1406444|34695611|2||2||1|1|1|2|2|2|2|2|2||1||1300000
3469562|1|1|1|1450.9199523|34695621|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3469563|1|1|1|1460.2143752|34695631|2||2||1|2|2|1|2|2|2|2|2||3||2000000
3469564|1|1|1|1460.2143752|34695641|2||2||1|2|2|1|2|2|2|2|2||3||1600000
3469565|1|1|1|3010.4377496|34695651|2||2||1|1|2|2|2|2|2|2|1||8||1500000
3469566|1|1|1|1389.5320152|34695661|2||2||1|1|2|2|2|2|2|2|2||1||98
3469567|1|1|1|965.59356152|34695671|2||2||1|1|2|2|2|2|2|2|2||1||98
3469568|1|1|1|1064.5754318|34695681|2||2||1|1|2|2|2|2|2|2|2||1||4000000
3469569|1|1|1|1058.6531355|34695691|2||2||2|1|2|2|2|2|2|2|2||1||3000000
3469570|1|1|1|751.92980696|34695701|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3469571|1|1|1|750.24261453|34695711|2||2||1|1|2|2|2|2|2|2|2||1||1800000
3469572|1|1|1|1062.4578799|34695721|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3469573|1|1|1|844.98938096|34695731|2||2||1|1|2|2|2|2|2|2|2||1||1400000
3469574|1|1|1|843.30218853|34695741|2||2||1|1|2|2|2|2|2|2|2||1||98
3469575|1|1|1|1440.0734873|34695751|2||2||1|1|2|2|2|2|2|2|2||1||98
3469576|1|1|1|969.59742235|34695761|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3469577|1|1|1|1373.1077441|34695771|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3469578|1|1|1|2180.2243484|34695781|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3469579|1|1|1|2404.2226523|34695791|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3469580|1|1|1|1376.548766|34695801|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3469581|1|1|1|2091.0528475|34695811|2||2||2|1|2|2|2|2|2|2|2||1||2600000
3469582|1|1|1|2768.7814451|34695821|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3469583|1|1|1|1810.8149896|34695831|2||2||1|1|2|2|2|2|2|2|2||1||900000
3469584|1|1|1|2850.0195996|34695841|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3469585|1|1|1|2850.0195996|34695851|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3469586|1|1|1|2850.0195996|34695861|1|1|2||1|1|2|2|2|2|2|2|2||1||5000000
3469587|1|1|1|6284.9487069|34695871|2||2||1|2|2|1|2|2|2|2|2||3||1300000
3469588|1|1|1|19759.533702|34695881|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3469589|1|1|1|12112.583298|34695891|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3469590|1|1|1|12112.583298|34695901|2||2||1|1|2|2|2|2|2|2|2||1||800000
3469591|1|1|1|3028.1458246|34695911|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3469592|1|1|1|3420.0235195|34695921|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3469593|1|1|1|3970.9520827|34695931|2||2||1|1|2|2|2|2|2|2|2||1||1900000
3469594|1|1|1|13680.094078|34695941|2||2||1|1|1|2|2|2|2|2|2||1||1300000
3469595|1|1|1|9023.7431642|34695951|2||2||1|1|2|2|2|2|2|2|2||1||800000
3469596|1|1|1|5763.7281888|34695961|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3469597|1|1|1|13680.094078|34695971|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3469598|1|1|1|9597.2901885|34695981|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3469599|1|1|1|3420.0235195|34695991|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3469600|1|1|1|5282.7158932|34696001|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3469601|1|1|1|2983.6142683|34696011|2||2||1|1|2|2|2|2|2|2|2||1||2300000
3469602|1|1|1|6181.4604567|34696021|1|1|2||1|2|2|1|2|2|2|2|2||3||2500000
