Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|area|P5747|P8520S1|P8520S1A1|P8520S2|P8520S3|P8520S4|P8520S5
3469422|1|1|1|2984.9232373|05|2|1|1|2|1|1|1
3469423|1|1|1|3410.565749|05|2|1|1|2|1|1|1
3469424|1|1|1|3051.8395807|05|2|1|1|2|1|1|1
3469425|1|1|1|3223.1809037|05|2|1|1|2|1|1|1
3469426|1|1|1|4211.4611476|05|2|1|2|2|1|1|1
3469427|1|1|1|1865.6779697|05|2|1|2|2|1|1|1
3469428|1|1|1|3608.8716302|05|2|1|2|2|1|1|1
3469429|1|1|1|2236.2252474|05|2|1|2|2|1|1|1
3469430|1|1|1|2594.9514157|05|2|1|2|2|1|1|1
3469431|1|1|1|2874.5877031|05|2|1|2|2|1|1|1
3469432|1|1|1|5609.747501|05|3|1|2|2|1|1|1
3469433|1|1|1|3223.1809037|05|3|1|2|2|1|1|1
3469434|1|1|1|4817.7365586|05|2|1|2|1|1|1|1
3469436|1|1|1|2048.5699819|05|2|1|3|1|1|1|1
3469437|1|1|1|2967.4013973|05|2|1|3|1|1|1|1
3469438|1|1|1|2530.286374|05|2|1|3|1|1|1|1
3469439|1|1|1|3218.7459559|05|2|1|3|1|1|1|1
3469440|1|1|1|2734.4401684|05|2|1|3|1|1|1|1
3469441|1|1|1|2757.5555769|05|2|1|3|1|1|1|1
3469442|1|1|1|3281.0481693|05|2|1|3|1|1|1|1
3469443|1|1|1|2805.0238031|05|2|1|3|1|1|1|1
3469444|1|1|1|2716.6438297|05|2|1|3|1|1|1|1
3469445|1|1|1|3726.3997609|05|2|1|3|1|1|1|1
3469446|1|1|1|4077.4950946|05|2|1|2|1|1|1|1
3469447|1|1|1|2674.6994899|05|2|1|3|1|1|1|1
3469449|1|1|1|3199.5072601|05|2|1|3|2|1|1|1
3469450|1|1|1|2810.4189211|05|2|1|3|1|1|1|1
3469451|1|1|1|2700.1960711|05|2|1|3|1|1|1|1
3469452|1|1|1|2982.4407939|05|2|1|3|1|1|1|1
3469453|1|1|1|2872.8440039|05|2|1|3|1|1|1|1
3469454|1|1|1|5639.5843639|05|2|1|3|1|1|1|1
3469455|1|1|1|3091.2993412|05|2|1|1|1|1|1|1
3469456|1|1|1|2700.3702665|05|2|1|1|1|1|1|1
3469457|1|1|1|2261.6534449|05|2|1|1|2|1|1|1
3469458|1|1|1|2663.3456776|05|5|1|1|1|1|1|1
3469459|1|1|1|2594.6702512|05|2|1|2|1|1|1|1
3469460|1|1|1|2891.4696422|05|2|1|1|2|1|1|1
3469461|1|1|1|3417.8773591|05|2|1|1|1|1|1|1
3469462|1|1|1|3252.2563416|05|2|1|1|2|1|1|1
3469463|1|1|1|3252.2563416|05|2|1|2|1|1|1|1
3469464|1|1|1|2709.8891149|05|2|1|1|1|1|1|1
3469465|1|1|1|3157.7696108|05|2|1|3|1|1|1|1
3469466|1|1|1|2841.7072234|05|2|1|3|1|1|1|1
3469467|1|1|1|3257.3245401|05|2|1|3|1|1|1|1
3469469|1|1|1|2755.6707994|05|2|1|3|1|1|1|1
3469470|1|1|1|3295.9694644|05|2|1|3|1|1|1|1
3469471|1|1|1|2736.6655658|05|2|1|3|1|1|1|1
3469472|1|1|1|3936.331938|05|2|1|3|1|1|1|1
3469474|1|1|1|2736.6655658|05|2|1|3|1|1|1|1
3469475|1|1|1|1944.910486|05|2|1|3|1|1|1|1
3469476|1|1|1|3083.8070925|05|2|1|3|1|1|1|1
3469477|1|1|1|3578.4107529|05|2|1|5|1|1|1|1
3469478|1|1|1|2025.1011887|05|2|1|5|1|1|1|1
3469479|1|1|1|2193.7846116|05|2|1|5|1|1|1|1
3469480|1|1|1|2259.8740898|05|2|1|5|1|1|1|1
3469481|1|1|1|2442.2099214|05|2|1|5|1|1|1|1
3469482|1|1|1|2246.7475715|05|2|1|5|1|1|1|1
3469483|1|1|1|2887.8843567|05|2|1|4|1|1|1|1
3469484|1|1|1|1241.9165693|05|2|1|5|1|1|1|1
3469485|1|1|1|2692.4220068|05|2|1|5|1|1|1|1
3469486|1|1|1|2832.610362|05|2|1|5|1|1|1|1
3469487|1|1|1|1461.8143267|05|2|1|3|1|1|1|1
3469488|1|1|1|1461.8143267|05|2|1|3|1|1|1|1
3469489|1|1|1|2042.1438319|05|2|1|3|1|1|1|1
3469490|1|1|1|2783.6114076|05|2|1|3|1|1|1|1
3469492|1|1|1|2774.3996188|05|2|1|3|1|1|1|1
3469493|1|1|1|2613.2615482|05|2|1|3|1|1|1|1
3469494|1|1|1|3068.8513184|05|2|1|3|1|1|1|1
3469495|1|1|1|2203.2819024|05|2|1|3|1|1|1|1
3469496|1|1|1|2944.7494782|05|2|1|3|1|1|1|1
3469497|1|1|1|2782.3784881|05|2|1|6|1|1|1|1
3469498|1|1|1|2178.2226945|05|2|1|6|1|1|1|1
3469500|1|1|1|2097.9786696|05|2|1|6|1|1|1|1
3469501|1|1|1|2170.8532635|05|2|1|6|1|1|1|1
3469502|1|1|1|2306.4454178|05|2|1|6|1|1|1|1
3469503|1|1|1|1762.625522|05|2|1|6|1|1|1|1
3469504|1|1|1|2097.9786696|05|2|1|6|1|1|1|1
3469505|1|1|1|3220.6254099|05|2|1|6|1|1|1|1
3469506|1|1|1|1607.2013488|08|2|1|4|1|1|1|1
3469507|1|1|1|1403.9298841|08|2|1|4|1|1|1|1
3469508|1|1|1|1427.2100026|08|2|1|4|1|1|1|1
3469509|1|1|1|945.2059175|08|2|1|4|1|1|1|1
3469510|1|1|1|1598.4970542|08|2|1|4|1|1|1|1
3469511|1|1|1|1598.4970542|08|2|1|4|1|1|1|1
3469512|1|1|1|792.22483747|08|2|1|1|1|1|1|1
3469513|1|1|1|666.37945412|08|1|1|1|1|1|1|1
3469514|1|1|1|992.64355051|08|2|1|1|1|1|1|1
3469515|1|1|1|1418.3906406|08|2|1|1|1|1|1|1
3469516|1|1|1|1764.640151|08|1|1|1|1|1|1|1
3469517|1|1|1|1511.6585948|08|1|1|1|1|1|1|1
3469518|1|1|1|2545.5365445|08|2|1|1|1|1|1|1
3469519|1|1|1|1764.640151|08|1|1|1|1|1|1|1
3469520|1|1|1|1080.7628577|08|2|1|1|1|1|1|1
3469521|1|1|1|1566.3592047|08|2|1|3|1|1|1|1
3469522|1|1|1|1612.2108037|08|1|1|3|1|1|1|1
3469523|1|1|1|1033.7337774|08|2|1|3|1|1|1|1
3469524|1|1|1|1008.7233775|08|2|1|1|1|1|1|1
3469525|1|1|1|853.96982508|08|2|1|1|1|1|1|1
3469526|1|1|1|1113.6618642|08|2|1|1|1|1|1|1
3469527|1|1|1|869.49177794|08|2|1|1|1|1|1|1
3469528|1|1|1|1114.6492028|08|2|1|1|2|1|1|1
3469529|1|1|1|1796.1859053|08|2|1|1|1|1|1|1
3469530|1|1|1|961.81611106|08|2|1|1|1|1|1|1
3469531|1|1|1|1442.2815111|08|1|1|1|1|1|1|1
