Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P37|P38S1|P38S1A1|P38S2|P38S2A1|P38S3|P38S3A1
3469485|1|1|1|2692.4220068|34694851|1|1|300000|2||2|
3469498|1|1|1|2178.2226945|34694981|1|1|120000|1|200000|2|
3469586|1|1|1|2850.0195996|34695861|1|1|50000|1|180000|2|
3469602|1|1|1|6181.4604567|34696021|1|1|150000|2||2|
3469624|1|1|1|10059.494831|34696241|1|1|100000|1|100000|2|
3469743|1|1|1|91.043584476|34697431|2||||||
3469746|1|1|1|148.5901385|34697461|1|1|300000|1|300000|2|
3469761|1|1|1|160.55818139|34697611|1|1|80000|2||2|
3469772|1|1|1|130.75408409|34697721|2||||||
3469773|1|1|1|130.75408409|34697731|1|1|80000|2||2|
3469783|1|1|1|75.0239129|34697831|1|1|90000|1|250000|2|
3469783|1|2|2|75.0239129|34697831|2||||||
3469787|1|1|1|121.45322549|34697871|1|1|200000|2||2|
3469807|1|1|1|496.94118998|34698071|1|1|900000|1|1500000|2|
3469812|1|1|1|1059.0849091|34698121|1|1|400000|1|200000|2|
3469989|1|1|1|299.16686433|34699891|1|1|120000|2||2|
3470216|1|1|1|142.97175754|34702161|2||||||
3470466|1|1|1|128.3770525|34704661|2||||||
3470490|1|1|1|406.59705228|34704901|2||||||
3470717|1|1|1|323.06373707|34707171|1|2||1|150000|2|
3470788|1|1|1|145.5323117|34707881|2||||||
3470908|1|1|1|1111.1723677|34709081|1|1|120000|1|450000|2|
3471054|1|1|1|390.64261157|34710541|1|1|300000|2||2|
3471580|1|1|1|276.00390077|34715801|1|1|150000|2||2|
3471756|1|1|1|63.921111942|34717561|2||||||
3471832|1|1|1|124.02911543|34718321|2||||||
3472074|1|1|1|147.51084766|34720741|2||||||
3472108|1|1|1|509.63278712|34721081|1|1|100000|1|400000|2|
3472155|1|1|1|2839.20038|34721551|1|1|350000|1|1000000|1|150000
3472280|1|1|1|80.445340273|34722801|2||||||
3472417|1|1|1|53.714739294|34724171|1|1|600000|1|200000|2|
3472440|1|1|1|183.58766396|34724401|2||||||
3472517|1|1|1|147.51084766|34725171|1|1|150000|2||2|
3472584|1|1|1|1927.4879891|34725841|2||||||
3472592|1|1|1|713.63591992|34725921|2||||||
3472597|1|1|1|66.665900036|34725971|2||||||
3472774|1|1|1|361.21750506|34727741|1|1|500000|1|700000|2|
3472851|1|1|1|301.56205581|34728511|1|1|150000|2||2|
3473009|1|1|1|54.313584528|34730091|2||||||
3473056|1|1|1|12424.328154|34730561|1|1|50000|2||2|
3473068|1|1|1|5433.2628473|34730681|1|1|250000|1|650000|2|
3473069|1|1|1|9299.3501535|34730691|1|1|250000|1|98|2|
3473459|1|1|1|1992.8849855|34734591|1|1|160000|2||1|260000
3473465|1|1|1|2718.9802899|34734651|2||||||
3473639|1|1|1|6586.7949788|34736391|1|1|300000|1|300000|2|
3473705|1|1|1|4886.9098214|34737051|1|1|500000|1|500000|2|
3473861|1|1|1|128.43466524|34738611|1|1|120000|1|80000|2|
3473877|1|1|1|144.84074923|34738771|2||||||
3473879|1|1|1|80.364166445|34738791|1|1|150000|1|100000|2|
