Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P1992|P1993S1|P1993S1A1|P1994|P1994S1|P1995|P1995S1|P1996S1|P1996S1A1|P1996S2|P1996S2A1|P1996S3|P1996S3A1|P1996S4|P1996S4A1|P1996S5|P1996S5A1|P1996S7|P1996S7A1|P1996S8|P1996S8A1|P1996S10|P1996S10A1|P1997|P1998
3453438|1|1|1|4063.7562514|34534381|2||||||||||||||||||||||||4
3453439|1|1|1|2991.9552187|34534391|2||||||||||||||||||||||||1
3453439|1|2|2|2991.9552187|34534391|2||||||||||||||||||||||||4
3453439|1|3|3|2991.9552187|34534391|2||||||||||||||||||||||||1
3453439|1|4|4|2991.9552187|34534391|2||||||||||||||||||||||||1
3453440|1|1|1|4013.5616904|34534401|2||||||||||||||||||||||||2
3453440|1|2|2|4013.5616904|34534401|2||||||||||||||||||||||||1
3453441|1|1|1|4073.1814748|34534411|2||||||||||||||||||||||||2
3453441|1|2|2|4073.1814748|34534411|2||||||||||||||||||||||||2
3453442|1|2|2|3477.9141823|34534421|2||||||||||||||||||||||||2
3453442|1|3|3|3477.9141823|34534421|2||||||||||||||||||||||||2
3453442|1|1|1|3477.9141823|34534421|2||||||||||||||||||||||||2
3453443|1|1|1|3497.8924599|34534431|2||||||||||||||||||||||||2
3453443|1|2|2|3497.8924599|34534431|2||||||||||||||||||||||||2
3453443|1|3|3|3497.8924599|34534431|2||||||||||||||||||||||||2
3453444|1|1|1|3311.1602493|34534441|2||||||||||||||||||||||||4
3453444|1|2|2|3311.1602493|34534441|2||||||||||||||||||||||||4
3453445|1|1|1|4063.7562514|34534451|2||||||||||||||||||||||||2
3453446|1|1|1|4063.7562514|34534461|2||||||||||||||||||||||||4
3453447|1|1|1|3414.1056524|34534471|2||||||||||||||||||||||||2
3453448|1|1|1|3451.5809455|34534481|2||||||||||||||||||||||||2
3453449|1|1|1|2883.1854685|34534491|2||||||||||||||||||||||||1
3453449|1|2|2|2883.1854685|34534491|2||||||||||||||||||||||||1
3453449|1|3|3|2883.1854685|34534491|2||||||||||||||||||||||||2
3453449|1|4|4|2883.1854685|34534491|2||||||||||||||||||||||||2
3453450|1|1|1|2604.3941399|34534501|2||||||||||||||||||||||||1
3453451|1|1|1|2724.3703477|34534511|2||||||||||||||||||||||||2
3453452|1|1|1|1543.9648467|34534521|2||||||||||||||||||||||||2
3453452|1|2|2|1543.9648467|34534521|2||||||||||||||||||||||||2
3453452|1|3|3|1543.9648467|34534521|2||||||||||||||||||||||||7
3453452|1|4|4|1543.9648467|34534521|2||||||||||||||||||||||||2
3453452|1|6|6|1543.9648467|34534521|2||||||||||||||||||||||||2
3453453|1|1|1|1638.1065557|34534531|2||||||||||||||||||||||||2
3453453|1|2|2|1638.1065557|34534531|2||||||||||||||||||||||||2
3453453|1|3|3|1638.1065557|34534531|2||||||||||||||||||||||||2
3453453|1|4|4|1638.1065557|34534531|2||||||||||||||||||||||||2
3453454|1|1|1|2724.3703477|34534541|2||||||||||||||||||||||||2
3453455|1|1|1|2043.825435|34534551|2||||||||||||||||||||||||2
3453455|1|2|2|2043.825435|34534551|2||||||||||||||||||||||||1
