Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P6240|P6250|P6260|P6270|P6280|P6300|P6310|P7430|P6330|P6340|P6351
3453438|1|1|1|4063.7562514|34534381|1||||||||||
3453439|1|1|1|2991.9552187|34534391|1||||||||||
3453439|1|2|2|2991.9552187|34534391|1||||||||||
3453439|1|3|3|2991.9552187|34534391|3|2|2|2|2|2|||||
3453439|1|4|4|2991.9552187|34534391|3|2|2|2|2|2|||||
3453440|1|1|1|4013.5616904|34534401|1||||||||||
3453440|1|2|2|4013.5616904|34534401|1||||||||||
3453441|1|1|1|4073.1814748|34534411|4|1|||||||||
3453441|1|2|2|4073.1814748|34534411|1||||||||||
3453442|1|2|2|3477.9141823|34534421|1||||||||||
3453442|1|3|3|3477.9141823|34534421|3|2|2|2|2|2|||||
3453442|1|1|1|3477.9141823|34534421|1||||||||||
3453443|1|1|1|3497.8924599|34534431|1||||||||||
3453443|1|2|2|3497.8924599|34534431|3|2|2|2|2|2|||||
3453443|1|3|3|3497.8924599|34534431|3|2|2|2|2|2|||||
3453444|1|1|1|3311.1602493|34534441|1||||||||||
3453444|1|2|2|3311.1602493|34534441|1||||||||||
3453445|1|1|1|4063.7562514|34534451|1||||||||||
3453446|1|1|1|4063.7562514|34534461|1||||||||||
3453447|1|1|1|3414.1056524|34534471|1||||||||||
3453448|1|1|1|3451.5809455|34534481|1||||||||||
3453449|1|1|1|2883.1854685|34534491|4|2|2|2|2|2|||||
3453449|1|2|2|2883.1854685|34534491|4|2|2|2|2|2|||||
3453449|1|3|3|2883.1854685|34534491|4|1|||||||||
3453449|1|4|4|2883.1854685|34534491|1||||||||||
3453450|1|1|1|2604.3941399|34534501|1||||||||||
3453451|1|1|1|2724.3703477|34534511|1||||||||||
3453452|1|1|1|1543.9648467|34534521|1||||||||||
3453452|1|2|2|1543.9648467|34534521|1||||||||||
3453452|1|3|3|1543.9648467|34534521|1||||||||||
3453452|1|4|4|1543.9648467|34534521|1||||||||||
3453452|1|6|6|1543.9648467|34534521|1||||||||||
3453453|1|1|1|1638.1065557|34534531|1||||||||||
3453453|1|2|2|1638.1065557|34534531|4|2|2|2|2|2|||||
3453453|1|3|3|1638.1065557|34534531|1||||||||||
3453453|1|4|4|1638.1065557|34534531|2|2|2|2|1||||||1
3453454|1|1|1|2724.3703477|34534541|4|2|2|2|2|2|||||
3453455|1|1|1|2043.825435|34534551|4|1|||||||||
3453455|1|2|2|2043.825435|34534551|1||||||||||
3453456|1|1|1|2049.7498612|34534561|1||||||||||
