Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P36|P36S1|P6007|P6007S1|P543|P544S1|P544S2|P544S3|P544S4|P544S5|P544S6|P544S7|P544S8|P544S9|P545|P546|P547
3453438|1|1|1|4063.7562514|34534381|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453439|1|1|1|2991.9552187|34534391|2||2||1|1|2|2|2|2|2|2|2||1||4600000
3453440|1|1|1|4013.5616904|34534401|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3453441|1|1|1|4073.1814748|34534411|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3453442|1|1|1|3477.9141823|34534421|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453443|1|1|1|3497.8924599|34534431|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453444|1|1|1|3311.1602493|34534441|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3453445|1|1|1|4063.7562514|34534451|2||2||1|1|2|2|2|2|2|2|2||1||875000
3453446|1|1|1|4063.7562514|34534461|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453447|1|1|1|3414.1056524|34534471|2||2||1|1|2|2|2|2|2|2|2||1||1400000
3453448|1|1|1|3451.5809455|34534481|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453449|1|1|1|2883.1854685|34534491|2||2||1|1|2|2|2|2|2|1|2||1||1800000
3453450|1|1|1|2604.3941399|34534501|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453451|1|1|1|2724.3703477|34534511|2||2||1|1|1|2|2|2|2|2|2||1||680000
3453452|1|1|1|1543.9648467|34534521|2||2||2|1|2|2|2|2|2|2|2||1||4200000
3453453|1|1|1|1638.1065557|34534531|2||2||2|1|2|2|2|2|2|2|2||1||3000000
3453454|1|1|1|2724.3703477|34534541|2||2||1|2|1|2|2|2|2|2|1||8||500000
3453455|1|1|1|2043.825435|34534551|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3453456|1|1|1|2049.7498612|34534561|2||2||1|1|1|2|2|2|2|2|2||1||1400000
3453457|1|1|1|1989.0417447|34534571|2||2||1|1|2|2|2|2|2|2|2||1||600000
3453458|1|1|1|3846.8077573|34534581|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453459|1|1|1|3879.6349395|34534591|2||2||1|1|2|1|2|2|2|2|2||3||2000000
3453460|1|1|1|2352.1688073|34534601|2||2||1|1|2|2|2|2|2|2|2||1||5000000
3453461|1|1|1|3684.3926144|34534611|2||2||1|1|2|2|2|2|2|2|1||1||5000000
3453462|1|1|1|5148.6107348|34534621|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3453463|1|1|1|3288.5017748|34534631|2||2||1|1|2|2|2|2|2|2|2||1||2400000
3453464|1|1|1|2991.9552187|34534641|2||2||1|1|2|2|2|2|2|2|2||1||98
3453465|1|1|1|3251.5404648|34534651|2||2||1|1|2|2|2|2|2|2|2||1||98
3453466|1|1|1|5069.0126728|34534661|2||2||1|1|2|2|2|2|2|2|2||1||4000000
3453467|1|1|1|1988.3001902|34534671|2||2||1|1|2|2|2|2|2|2|2||1||6000000
3453468|1|1|1|2589.1744368|34534681|2||2||1|1|1|2|2|2|2|2|2||1||2500000
3453469|1|1|1|3176.8444307|34534691|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3453470|1|1|1|3385.2191666|34534701|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3453471|1|1|1|2919.8841213|34534711|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3453472|1|1|1|3809.3977213|34534721|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3453473|1|1|1|2655.8754543|34534731|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3453474|1|1|1|2919.8841213|34534741|2||2||1|1|2|2|2|2|2|2|2||1||1100000
3453475|1|1|1|2336.2920377|34534751|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453476|1|1|1|3020.9629202|34534761|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453477|1|1|1|2995.964285|34534771|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3453478|1|1|1|3704.8025833|34534781|2||2||1|1|2|2|2|2|2|2|2||1||3500000
3453479|1|1|1|2818.9454935|34534791|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3453480|1|1|1|4006.8580058|34534801|2||2||1|1|2|2|2|2|2|2|2||1||4000000
3453481|1|1|1|2524.4016023|34534811|2||2||1|1|2|2|2|2|2|2|2||1||1700000
3453482|1|1|1|2095.5257977|34534821|2||2||1|2|2|2|2|2|2|2|1||8||300000
3453483|1|1|1|3785.6886412|34534831|2||2||1|1|2|2|2|2|2|2|2||1||1800000
3453484|1|1|1|2854.249461|34534841|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3453485|1|1|1|2715.5862962|34534851|2||1|3|1|2|2|2|2|2|2|2|1||8||1300000
3453486|1|1|1|2691.1096953|34534861|2||2||1|2|2|1|2|2|2|2|2||3||1300000
3453487|1|1|1|5094.7557174|34534871|2||2||1|2|2|1|2|2|2|2|2||3||1700000
3453488|1|1|1|3054.6175499|34534881|2||2||1|1|2|2|2|2|2|2|2||1||4000000
3453489|1|1|1|3877.5007565|34534891|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3453490|1|1|1|3019.3503|34534901|2||2||1|1|2|2|2|2|2|1|2||1||6200000
3453491|1|1|1|3670.4957351|34534911|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3453492|1|1|1|3019.3503|34534921|2||2||1|1|2|2|2|2|2|2|2||1||6500000
