Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|area|P5747|P8520S1|P8520S1A1|P8520S2|P8520S3|P8520S4|P8520S5
3453438|1|1|1|4063.7562514|05|2|1|2|1|1|1|1
3453439|1|1|1|2991.9552187|05|2|1|2|1|1|1|1
3453440|1|1|1|4013.5616904|05|2|1|2|1|1|1|1
3453441|1|1|1|4073.1814748|05|2|1|2|2|1|1|1
3453442|1|1|1|3477.9141823|05|2|1|2|1|1|1|1
3453443|1|1|1|3497.8924599|05|2|1|2|1|1|1|1
3453444|1|1|1|3311.1602493|05|2|1|2|1|1|1|1
3453445|1|1|1|4063.7562514|05|2|1|2|1|1|1|1
3453446|1|1|1|4063.7562514|05|2|1|2|2|1|1|1
3453447|1|1|1|3414.1056524|05|2|1|2|1|1|1|1
3453448|1|1|1|3451.5809455|05|2|1|2|1|1|1|1
3453449|1|1|1|2883.1854685|05|2|1|2|1|1|1|1
3453450|1|1|1|2604.3941399|05|2|1|2|1|1|1|1
3453451|1|1|1|2724.3703477|05|2|1|2|1|1|1|1
3453452|1|1|1|1543.9648467|05|2|1|2|1|1|1|1
3453453|1|1|1|1638.1065557|05|2|1|2|1|1|1|1
3453454|1|1|1|2724.3703477|05|2|1|2|1|1|1|1
3453455|1|1|1|2043.825435|05|2|1|2|1|1|1|1
3453456|1|1|1|2049.7498612|05|2|1|2|1|1|1|1
3453457|1|1|1|1989.0417447|05|2|1|2|1|1|1|1
3453458|1|1|1|3846.8077573|05|2|1|2|1|1|1|1
3453459|1|1|1|3879.6349395|05|2|1|3|2|1|1|1
3453460|1|1|1|2352.1688073|05|2|1|3|1|1|1|1
3453461|1|1|1|3684.3926144|05|2|1|3|1|1|1|1
3453462|1|1|1|5148.6107348|05|2|1|3|1|1|1|1
3453463|1|1|1|3288.5017748|05|2|1|3|1|1|1|1
3453464|1|1|1|2991.9552187|05|2|1|3|1|1|1|1
3453465|1|1|1|3251.5404648|05|2|1|3|1|1|1|1
3453466|1|1|1|5069.0126728|05|2|1|3|1|1|1|1
3453467|1|1|1|1988.3001902|05|2|1|3|1|1|1|1
3453468|1|1|1|2589.1744368|05|2|1|2|1|1|1|1
3453469|1|1|1|3176.8444307|05|2|1|2|1|1|1|1
3453470|1|1|1|3385.2191666|05|2|1|2|1|1|1|1
3453471|1|1|1|2919.8841213|05|2|1|2|2|1|1|1
3453472|1|1|1|3809.3977213|05|2|1|2|1|1|1|1
3453473|1|1|1|2655.8754543|05|2|1|2|1|1|1|1
3453474|1|1|1|2919.8841213|05|2|1|2|1|1|1|1
3453475|1|1|1|2336.2920377|05|2|1|2|1|1|1|1
3453476|1|1|1|3020.9629202|05|2|1|2|1|1|1|1
3453477|1|1|1|2995.964285|05|2|1|2|1|1|1|1
3453478|1|1|1|3704.8025833|05|2|1|2|1|1|1|1
3453479|1|1|1|2818.9454935|05|2|1|2|1|1|1|1
3453480|1|1|1|4006.8580058|05|2|1|3|1|1|1|1
3453481|1|1|1|2524.4016023|05|2|1|3|1|1|1|1
3453482|1|1|1|2095.5257977|05|2|1|3|1|1|1|1
3453483|1|1|1|3785.6886412|05|2|1|3|1|1|1|1
3453484|1|1|1|2854.249461|05|2|1|4|1|1|1|1
3453485|1|1|1|2715.5862962|05|2|1|4|1|1|1|1
3453486|1|1|1|2691.1096953|05|2|1|4|2|1|1|1
3453487|1|1|1|5094.7557174|05|1|1|3|2|1|1|1
3453488|1|1|1|3054.6175499|05|2|1|4|1|1|1|1
3453489|1|1|1|3877.5007565|05|2|1|3|1|1|1|1
3453490|1|1|1|3019.3503|05|2|1|3|1|1|1|1
3453491|1|1|1|3670.4957351|05|2|1|3|1|1|1|1
3453492|1|1|1|3019.3503|05|2|1|3|1|1|1|1
3453493|1|1|1|2895.5065055|05|2|1|3|1|1|1|1
3453494|1|1|1|3877.5007565|05|2|1|3|1|1|1|1
3453495|1|1|1|3102.5115269|05|2|1|3|1|1|1|1
3453496|1|1|1|4218.7347756|05|2|1|3|1|1|1|1
3453497|1|1|1|2215.0692157|05|1|1|2|1|1|1|1
3453498|1|1|1|3236.9621403|05|1|1|2|1|1|1|1
3453499|1|1|1|2918.7487107|05|2|1|2|1|1|1|1
3453500|1|1|1|3863.0813135|05|2|1|2|1|1|1|1
3453501|1|1|1|2418.6789955|05|2|1|2|1|1|1|1
3453502|1|1|1|2276.0783254|05|1|1|2|1|1|1|1
3453503|1|1|1|3487.2997613|05|2|1|2|1|1|1|1
3453505|1|1|1|3142.6663171|05|2|1|2|1|1|1|1
3453506|1|1|1|2276.0783254|05|2|1|2|1|1|1|1
3453507|1|1|1|2900.3480194|05|2|1|2|1|1|1|1
3453509|1|1|1|4767.6481085|05|1|1|5|1|1|1|1
3453510|1|1|1|4470.1318765|05|2|1|5|1|1|1|1
3453511|1|1|1|4267.5984335|05|1|1|5|1|1|1|1
3453512|1|1|1|5575.91394|05|1|1|5|1|1|1|1
3453513|1|1|1|2917.3576368|05|2|1|2|1|1|1|1
3453514|1|1|1|2167.6936432|05|2|1|2|1|1|1|1
3453515|1|1|1|2709.1708342|05|2|1|2|1|1|1|1
3453516|1|1|1|3918.9881057|05|2|1|2|1|1|1|1
3453518|1|1|1|2023.0613139|05|2|1|2|1|1|1|1
3453519|1|1|1|2464.2143391|05|2|1|2|1|1|1|1
3453520|1|1|1|2406.1104251|05|2|1|2|1|1|1|1
3453521|1|1|1|3679.1250605|05|2|1|2|1|1|1|1
3453522|1|1|1|4155.4629681|05|2|1|2|1|1|1|1
3453523|1|1|1|2081.1652279|05|2|1|2|1|1|1|1
3453524|1|1|1|2311.6672818|05|2|1|3|1|1|1|1
3453525|1|1|1|2935.7926426|05|2|1|3|1|1|1|1
3453526|1|1|1|3931.5885295|05|2|1|3|1|1|1|1
3453527|1|1|1|2900.9597698|05|2|1|3|1|1|1|1
3453528|1|1|1|3912.4796663|05|2|1|3|1|1|1|1
3453529|1|1|1|2081.7325924|05|2|1|3|1|1|1|1
3453531|1|1|1|2297.8032139|05|2|1|3|1|1|1|1
3453532|1|1|1|3829.7325191|05|2|1|3|1|1|1|1
3453533|1|1|1|4185.3170397|05|2|1|4|1|1|1|1
3453535|1|1|1|5578.9273602|05|2|1|3|1|1|1|1
3453537|1|1|1|4533.4596479|05|2|1|3|1|1|1|1
3453538|1|1|1|5578.9273602|05|2|1|3|1|1|1|1
3453539|1|1|1|4185.3170397|05|2|1|3|1|1|1|1
3453540|1|1|1|4645.64492|05|2|1|4|1|1|1|1
3453541|1|1|1|5578.9273602|05|2|1|4|1|1|1|1
3453542|1|1|1|4297.5023119|05|2|1|4|1|1|1|1
3453543|1|1|1|5087.9572674|05|2|1|2|1|1|1|1
3453544|1|1|1|4188.4009185|05|2|1|2|1|1|1|1
3453545|1|1|1|3695.032006|05|2|1|2|1|1|1|1
3453546|1|1|1|3462.7674883|05|2|1|2|1|1|1|1
3453547|1|1|1|5129.3825622|05|2|1|2|1|1|1|1
