Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P37|P38S1|P38S1A1|P38S2|P38S2A1|P38S3|P38S3A1
3453538|1|1|1|5578.9273602|34535381|1|1|300000|2||1|500000
3453680|1|1|1|7421.7382101|34536801|2||||||
3453745|1|1|1|5102.0304841|34537451|1|1|200000|2||2|
3453953|1|1|1|135.58387456|34539531|1|1|140000|1|500000|2|
3453967|1|1|1|185.86914642|34539671|1|1|600000|2||2|
3453984|1|1|1|132.21318697|34539841|1|1|100000|1|100000|1|50000
3453987|1|1|1|207.81496948|34539871|2||||||
3453994|1|1|1|149.41346862|34539941|1|2||1|2000000|2|
3454185|1|1|1|136.79210428|34541851|1|1|300000|1|450000|1|600000
3454315|1|1|1|191.79343514|34543151|1|1|600000|1|800000|2|
3454315|1|2|2|191.79343514|34543151|1|1|400000|2||2|
3454476|1|1|1|356.11960244|34544761|1|2||1|200000|2|
3454501|1|1|1|223.77835238|34545011|1|1|280000|2||2|
3454600|1|1|1|147.83965754|34546001|1|1|47000|2||2|
3454723|1|1|1|211.60484233|34547231|1|1|90000|1|200000|2|
3454816|1|1|1|66.51642386|34548161|1|1|500000|1|250000|2|
3454856|1|1|1|41.600154425|34548561|2||||||
3455027|1|1|1|667.22670986|34550271|1|1|300000|1|1300000|2|
3455086|1|1|1|270.8193476|34550861|1|1|40000|1|500000|2|
3455184|1|1|1|234.60152468|34551841|1|1|150000|2||2|
3455228|1|1|1|252.69595159|34552281|1|1|100000|2||2|
3455371|1|1|1|234.0543724|34553711|2||||||
3455519|1|1|1|416.76152414|34555191|1|2||1|399000|2|
3455538|1|1|1|393.82130361|34555381|1|1|200000|1|400000|2|
3455697|1|1|1|1526.6620045|34556971|1|1|130000|1|550000|2|
3455698|1|1|1|1069.1636114|34556981|1|1|60000|1|120000|2|
3455701|1|3|3|1198.4620769|34557011|1|1|50000|1|120000|2|
3455701|1|1|1|1198.4620769|34557011|1|1|60000|1|250000|2|
3455701|1|2|2|1198.4620769|34557011|1|1|80000|1|40000|2|
3456093|1|1|1|12.368104175|34560931|2||||||
3456097|1|1|1|67.637908413|34560971|2||||||
3456108|1|1|1|20.098169284|34561081|1|1|200000|2||2|
3456134|1|1|1|44.032799001|34561341|1|1|200000|2||2|
3456351|1|1|1|114.08999085|34563511|2||||||
3456513|1|1|1|327.12126334|34565131|1|1|220000|2||2|
3456867|1|1|1|1668.4178717|34568671|2||||||
3456912|1|1|1|70.513699715|34569121|1|1|300000|2||2|
3456917|1|1|1|508.57859823|34569171|1|1|500000|1|500000|2|
3457044|1|1|1|173.66124581|34570441|1|1|200000|1|150000|2|
3457123|1|1|1|359.06482977|34571231|2||||||
3459004|1|1|1|322.00334586|34590041|1|1|100000|2||1|50000
3459537|1|1|1|4467.8777183|34595371|1|1|300000|2||2|
3459551|1|1|1|10868.571572|34595511|1|1|250000|2||2|
3459621|1|1|1|202.21276994|34596211|1|1|150000|2||2|
3459627|1|1|1|143.47714622|34596271|1|1|500000|2||2|
3459627|1|2|2|143.47714622|34596271|1|1|450000|2||2|
3459627|1|3|3|143.47714622|34596271|1|1|350000|2||2|
3459629|1|1|1|101.64966011|34596291|2||||||
3459642|1|1|1|230.77895676|34596421|1|1|300000|1|125000|1|500000
3459646|1|1|1|65.405737839|34596461|1|1|100000|2||2|
3459652|1|1|1|145.55111552|34596521|1|1|300000|2||2|
3459653|1|1|1|156.64995853|34596531|2||||||
3459655|1|1|1|131.40423413|34596551|1|1|600000|1|300000|2|
3459656|1|1|1|100.93538955|34596561|1|1|440000|1|190000|2|
3460304|1|1|1|407.03576832|34603041|1|2||1|500000|2|
3460369|1|1|1|427.79917732|34603691|1|1|400000|2||2|
3460370|1|1|1|427.79917732|34603701|1|1|80000|1|450000|2|
3460372|1|1|1|457.63855277|34603721|1|1|120000|1|600000|2|
3460374|1|1|1|844.97339456|34603741|1|1|200000|1|300000|2|
3460515|1|1|1|2463.816793|34605151|2||||||
3460543|1|1|1|28.435757993|34605431|1|1|120000|2||2|
3460548|1|1|1|29.817402821|34605481|1|1|125000|2||2|
3460588|1|1|1|2408.2994574|34605881|1|1|300000|2||2|
3460747|1|1|1|157.81932408|34607471|1|1|100000|1|300000|2|
3461226|1|1|1|111.57266076|34612261|1|1|400000|2||2|
3461459|1|1|1|522.09581746|34614591|2||||||
3461481|1|1|1|210.84284081|34614811|1|1|150000|1|200000|2|
3461584|1|1|1|766.43586942|34615841|2||||||
3461598|1|1|1|662.04972944|34615981|1|1|120000|1|250000|2|
3461664|1|1|1|2065.6051993|34616641|1|2||1|1200000|2|
3461742|1|1|1|2383.4281099|34617421|1|1|120000|2||2|
3461808|1|1|1|7741.7378457|34618081|1|1|300000|1|200000|2|
3461856|1|1|1|222.15802407|34618561|2||||||
3461860|1|1|1|535.0156717|34618601|1|1|300000|1|600000|2|
3461908|1|1|1|363.80346132|34619081|1|1|50000|2||2|
3462004|1|1|1|231.31226818|34620041|1|1|300000|1|1000000|2|
3462006|1|1|1|104.92545592|34620061|1|1|500000|1|1000000|2|
