variable,observados,candidatos_iqr
edad,4729,0
ingreso_mensual_hogar,4720,219
gasto_total_viaje,4729,438
paquete_monto,4729,135
paquete_n_personas,135,13
fex_trim,4729,724
rubro01_monto,4729,916
rubro03_monto,4729,997
rubro04_monto,4729,294
rubro05_monto,4729,871
rubro06_monto,4729,813
rubro07_monto,4729,1008
rubro08_monto,4729,540
rubro09_monto,4729,732
rubro10_monto,4729,314
rubro01_n_personas,1379,14
rubro03_n_personas,1271,70
rubro04_n_personas,4141,524
rubro05_n_personas,871,107
rubro06_n_personas,813,7
rubro07_n_personas,1008,109
rubro08_n_personas,540,38
rubro09_n_personas,732,50
rubro10_n_personas,3775,457
aloj01_noches,4729,105
aloj02_noches,4729,758
aloj03_noches,4729,27
aloj04_noches,4729,67
aloj05_noches,4729,393
aloj07_noches,4729,51
aloj08_noches,4729,135
aloj10_noches,4729,60
duracion_dias,4729,396
log_gasto_total,4729,48
suma_rubros,4729,364
share_rubro01,4729,196
share_rubro03,4729,859
share_rubro04,4729,82
share_rubro05,4729,871
share_rubro06,4729,813
share_rubro07,4729,1008
share_rubro08,4729,540
share_rubro09,4729,732
share_rubro10,4729,264
