columna,tipo,faltantes,porcentaje_faltante,valores_distintos
Directorio,string,0,0.0,41802
Secuencia_p,string,0,0.0,5
Secuencia_encuesta,string,0,0.0,18
Orden,string,0,0.0,18
Fex_c,string,0,0.0,34953
llave_hogar,string,0,0.0,42158
P6020,string,0,0.0,2
P6030S1,string,6681,5.477172300150026,12
P6030S3,string,6681,5.477172300150026,105
P6040,string,0,0.0,105
P6050,string,0,0.0,9
P5502,string,14730,12.075849121570107,6
EDUCACION__Secuencia_encuesta,string,3489,2.860328417186565,17
EDUCACION__Fex_c,string,3489,2.860328417186565,34953
EDUCACION__llave_hogar,string,3489,2.860328417186565,42158
EDUCACION__P6160,string,3489,2.860328417186565,2
EDUCACION__P6170,string,3489,2.860328417186565,2
EDUCACION__P6175,string,90774,74.41772764164324,2
EDUCACION__P6210,string,3489,2.860328417186565,7
EDUCACION__P6210S1,string,3489,2.860328417186565,17
EDUCACION__P6220,string,53148,43.57143442723748,5
presente__EDUCACION,bool,0,0.0,2
FUERZA_DE_TRABAJO__Secuencia_encuesta,string,14730,12.075849121570107,16
FUERZA_DE_TRABAJO__Fex_c,string,14730,12.075849121570107,34953
FUERZA_DE_TRABAJO__llave_hogar,string,14730,12.075849121570107,42158
FUERZA_DE_TRABAJO__P6240,string,14730,12.075849121570107,6
FUERZA_DE_TRABAJO__P6250,string,70835,58.07147131883357,2
FUERZA_DE_TRABAJO__P6260,string,78101,64.02823436821092,2
FUERZA_DE_TRABAJO__P6270,string,78634,64.46519482861804,2
FUERZA_DE_TRABAJO__P6280,string,79078,64.82919191008288,2
FUERZA_DE_TRABAJO__P6300,string,83658,68.58393657924725,2
FUERZA_DE_TRABAJO__P6310,string,120316,98.63665057099993,13
FUERZA_DE_TRABAJO__P7430,string,121471,99.58353487075644,2
FUERZA_DE_TRABAJO__P6330,string,121908,99.94179325949548,2
FUERZA_DE_TRABAJO__P6340,string,121496,99.60403020192,2
FUERZA_DE_TRABAJO__P6351,string,117246,96.11982390411464,2
presente__FUERZA_DE_TRABAJO,bool,0,0.0,2
COMPLEMENTARIAS__Secuencia_encuesta,string,14730,12.075849121570107,16
COMPLEMENTARIAS__Fex_c,string,14730,12.075849121570107,34953
COMPLEMENTARIAS__llave_hogar,string,14730,12.075849121570107,42158
COMPLEMENTARIAS__P1992,string,14730,12.075849121570107,2
COMPLEMENTARIAS__P1993S1,string,117785,96.56170324400102,31
COMPLEMENTARIAS__P1993S1A1,string,117785,96.56170324400102,512
COMPLEMENTARIAS__P1994,string,117785,96.56170324400102,9
COMPLEMENTARIAS__P1994S1,string,121673,99.74913714655801,6
COMPLEMENTARIAS__P1995,string,117785,96.56170324400102,358
COMPLEMENTARIAS__P1995S1,string,117785,96.56170324400102,353
COMPLEMENTARIAS__P1996S1,string,117785,96.56170324400102,2
COMPLEMENTARIAS__P1996S1A1,string,121862,99.90408185015454,17
COMPLEMENTARIAS__P1996S2,string,117785,96.56170324400102,2
COMPLEMENTARIAS__P1996S2A1,string,119322,97.82175620393674,43
COMPLEMENTARIAS__P1996S3,string,117785,96.56170324400102,2
COMPLEMENTARIAS__P1996S3A1,string,120845,99.07033177842088,21
COMPLEMENTARIAS__P1996S4,string,117785,96.56170324400102,2
COMPLEMENTARIAS__P1996S4A1,string,121879,99.91801867534575,11
COMPLEMENTARIAS__P1996S5,string,117785,96.56170324400102,2
COMPLEMENTARIAS__P1996S5A1,string,121891,99.92785643430426,5
COMPLEMENTARIAS__P1996S7,string,117785,96.56170324400102,2
COMPLEMENTARIAS__P1996S7A1,string,121931,99.96064896416597,8
COMPLEMENTARIAS__P1996S8,string,117785,96.56170324400102,2
COMPLEMENTARIAS__P1996S8A1,string,121951,99.97704522909682,7
COMPLEMENTARIAS__P1996S10,string,117785,96.56170324400102,2
COMPLEMENTARIAS__P1996S10A1,string,121936,99.96474803039868,10
COMPLEMENTARIAS__P1997,string,117785,96.56170324400102,5
COMPLEMENTARIAS__P1998,string,18924,15.51414587756909,8
presente__COMPLEMENTARIAS,bool,0,0.0,2
TURISMO__Secuencia_encuesta,string,14730,12.075849121570107,16
TURISMO__Fex_c,string,14730,12.075849121570107,34953
TURISMO__llave_hogar,string,14730,12.075849121570107,42158
TURISMO__P7570,string,14730,12.075849121570107,2
TURISMO__P7571S1,string,114833,94.14161454020774,2
TURISMO__P7571S1A1,string,121563,99.65895768943834,3
TURISMO__P7571S1A2,string,121563,99.65895768943834,2
