trimestre,modulo,variable,tipo_lectura,faltantes,porcentaje_faltante,valores_distintos
1,CARACTERISTICAS_GENERALES,Directorio,string,0,0.0,10635
1,CARACTERISTICAS_GENERALES,Secuencia_p,string,0,0.0,5
1,CARACTERISTICAS_GENERALES,Secuencia_encuesta,string,0,0.0,14
1,CARACTERISTICAS_GENERALES,Orden,string,0,0.0,14
1,CARACTERISTICAS_GENERALES,Fex_c,string,0,0.0,8698
1,CARACTERISTICAS_GENERALES,llave_hogar,string,0,0.0,10746
1,CARACTERISTICAS_GENERALES,P6020,string,0,0.0,2
1,CARACTERISTICAS_GENERALES,P6030S1,string,1144,3.668430335097002,12
1,CARACTERISTICAS_GENERALES,P6030S3,string,1144,3.668430335097002,103
1,CARACTERISTICAS_GENERALES,P6040,string,0,0.0,102
1,CARACTERISTICAS_GENERALES,P6050,string,0,0.0,9
1,CARACTERISTICAS_GENERALES,P5502,string,3784,12.134038800705467,6
1,EDUCACION,Directorio,string,0,0.0,10635
1,EDUCACION,Secuencia_p,string,0,0.0,5
1,EDUCACION,Secuencia_encuesta,string,0,0.0,14
1,EDUCACION,Orden,string,0,0.0,14
1,EDUCACION,Fex_c,string,0,0.0,8698
1,EDUCACION,llave_hogar,string,0,0.0,10746
1,EDUCACION,P6160,string,0,0.0,2
1,EDUCACION,P6170,string,0,0.0,2
1,EDUCACION,P6175,string,22077,72.8830345647222,2
1,EDUCACION,P6210,string,0,0.0,7
1,EDUCACION,P6210S1,string,0,0.0,17
1,EDUCACION,P6220,string,12735,42.042190749727645,5
1,FUERZA_DE_TRABAJO,Directorio,string,0,0.0,10635
1,FUERZA_DE_TRABAJO,Secuencia_p,string,0,0.0,5
1,FUERZA_DE_TRABAJO,Secuencia_encuesta,string,0,0.0,13
1,FUERZA_DE_TRABAJO,Orden,string,0,0.0,13
1,FUERZA_DE_TRABAJO,Fex_c,string,0,0.0,8698
1,FUERZA_DE_TRABAJO,llave_hogar,string,0,0.0,10746
1,FUERZA_DE_TRABAJO,P6240,string,0,0.0,6
1,FUERZA_DE_TRABAJO,P6250,string,14308,52.21707236962154,2
1,FUERZA_DE_TRABAJO,P6260,string,15893,58.00153279077406,2
1,FUERZA_DE_TRABAJO,P6270,string,16056,58.5964015911828,2
1,FUERZA_DE_TRABAJO,P6280,string,16191,59.08908433998759,2
1,FUERZA_DE_TRABAJO,P6300,string,17565,64.10349987226743,2
1,FUERZA_DE_TRABAJO,P6310,string,26883,98.10955804532682,13
1,FUERZA_DE_TRABAJO,P7430,string,27245,99.43067771249224,2
1,FUERZA_DE_TRABAJO,P6330,string,27376,99.90876245392504,2
1,FUERZA_DE_TRABAJO,P6340,string,27252,99.45622422539323,2
1,FUERZA_DE_TRABAJO,P6351,string,25970,94.77756286266924,2
1,COMPLEMENTARIAS,Directorio,string,0,0.0,10635
1,COMPLEMENTARIAS,Secuencia_p,string,0,0.0,5
1,COMPLEMENTARIAS,Secuencia_encuesta,string,0,0.0,13
1,COMPLEMENTARIAS,Orden,string,0,0.0,13
1,COMPLEMENTARIAS,Fex_c,string,0,0.0,8698
1,COMPLEMENTARIAS,llave_hogar,string,0,0.0,10746
1,COMPLEMENTARIAS,P1992,string,0,0.0,2
1,COMPLEMENTARIAS,P1993S1,string,26102,95.25929710594504,30
1,COMPLEMENTARIAS,P1993S1A1,string,26102,95.25929710594504,260
1,COMPLEMENTARIAS,P1994,string,26102,95.25929710594504,9
1,COMPLEMENTARIAS,P1994S1,string,27333,99.75183387467611,6
1,COMPLEMENTARIAS,P1995,string,26102,95.25929710594504,89
1,COMPLEMENTARIAS,P1995S1,string,26102,95.25929710594504,85
1,COMPLEMENTARIAS,P1996S1,string,26102,95.25929710594504,2
1,COMPLEMENTARIAS,P1996S1A1,string,27360,99.85037042443706,14
1,COMPLEMENTARIAS,P1996S2,string,26102,95.25929710594504,2
1,COMPLEMENTARIAS,P1996S2A1,string,26534,96.83588190212036,35
1,COMPLEMENTARIAS,P1996S3,string,26102,95.25929710594504,2
1,COMPLEMENTARIAS,P1996S3A1,string,27109,98.93434546184446,14
1,COMPLEMENTARIAS,P1996S4,string,26102,95.25929710594504,2
1,COMPLEMENTARIAS,P1996S4A1,string,27373,99.89781394839603,8
1,COMPLEMENTARIAS,P1996S5,string,26102,95.25929710594504,2
1,COMPLEMENTARIAS,P1996S5A1,string,27367,99.87591693733805,3
1,COMPLEMENTARIAS,P1996S7,string,26102,95.25929710594504,2
1,COMPLEMENTARIAS,P1996S7A1,string,27389,99.95620597788401,5
1,COMPLEMENTARIAS,P1996S8,string,26102,95.25929710594504,2
