trimestre,modulo,filas_antes,filas_despues,personas_sin_registro_modulo,registros_huerfanos
1,EDUCACION,31185,31185,894,0
1,FUERZA_DE_TRABAJO,31185,31185,3784,0
1,COMPLEMENTARIAS,31185,31185,3784,0
1,TURISMO,31185,31185,3784,0
1,EXCURSIONISMO,31185,31185,3784,0
1,HOGAR,31185,31185,0,0
1,VIVIENDA,31185,31185,0,0
1,VIVIENDA_USO_RECREATIVO,31185,31185,30767,0
2,EDUCACION,30542,30542,886,0
2,FUERZA_DE_TRABAJO,30542,30542,3673,0
2,COMPLEMENTARIAS,30542,30542,3673,0
2,TURISMO,30542,30542,3673,0
2,EXCURSIONISMO,30542,30542,3673,0
2,HOGAR,30542,30542,0,0
2,VIVIENDA,30542,30542,0,0
2,VIVIENDA_USO_RECREATIVO,30542,30542,30108,0
3,EDUCACION,30740,30740,892,0
3,FUERZA_DE_TRABAJO,30740,30740,3778,0
3,COMPLEMENTARIAS,30740,30740,3778,0
3,TURISMO,30740,30740,3778,0
3,EXCURSIONISMO,30740,30740,3778,0
3,HOGAR,30740,30740,0,0
3,VIVIENDA,30740,30740,0,0
3,VIVIENDA_USO_RECREATIVO,30740,30740,30390,0
4,EDUCACION,29512,29512,817,0
4,FUERZA_DE_TRABAJO,29512,29512,3495,0
4,COMPLEMENTARIAS,29512,29512,3495,0
4,TURISMO,29512,29512,3495,0
4,EXCURSIONISMO,29512,29512,3495,0
4,HOGAR,29512,29512,0,0
4,VIVIENDA,29512,29512,0,0
4,VIVIENDA_USO_RECREATIVO,29512,29512,29192,0
