trimestre,modulo,mismo_esquema_que_T1,columnas_nuevas,columnas_ausentes
1,CARACTERISTICAS_GENERALES,True,,
1,EDUCACION,True,,
1,FUERZA_DE_TRABAJO,True,,
1,COMPLEMENTARIAS,True,,
1,TURISMO,True,,
1,EXCURSIONISMO,True,,
1,HOGAR,True,,
1,VIVIENDA,True,,
1,VIVIENDA_USO_RECREATIVO,True,,
2,CARACTERISTICAS_GENERALES,True,,
2,EDUCACION,True,,
2,FUERZA_DE_TRABAJO,True,,
2,COMPLEMENTARIAS,True,,
2,TURISMO,True,,
2,EXCURSIONISMO,True,,
2,HOGAR,True,,
2,VIVIENDA,True,,
2,VIVIENDA_USO_RECREATIVO,True,,
3,CARACTERISTICAS_GENERALES,True,,
3,EDUCACION,True,,
3,FUERZA_DE_TRABAJO,True,,
3,COMPLEMENTARIAS,True,,
3,TURISMO,True,,
3,EXCURSIONISMO,True,,
3,HOGAR,True,,
3,VIVIENDA,True,,
3,VIVIENDA_USO_RECREATIVO,True,,
4,CARACTERISTICAS_GENERALES,True,,
4,EDUCACION,True,,
4,FUERZA_DE_TRABAJO,True,,
4,COMPLEMENTARIAS,True,,
4,TURISMO,True,,
4,EXCURSIONISMO,True,,
4,HOGAR,True,,
4,VIVIENDA,True,,
4,VIVIENDA_USO_RECREATIVO,True,,
