columna,metodo,valor,imputados,faltantes_aplicables
rubro01_monto,valor,0.0,5383,0
rubro03_monto,valor,0.0,5491,0
rubro04_monto,valor,0.0,2621,0
rubro05_monto,valor,0.0,5891,0
rubro06_monto,valor,0.0,5949,0
rubro07_monto,valor,0.0,5754,0
rubro08_monto,valor,0.0,6222,0
rubro09_monto,valor,0.0,6030,0
rubro10_monto,valor,0.0,2987,0
aloj01_noches,valor,0.0,6589,0
aloj02_noches,valor,0.0,4849,0
aloj03_noches,valor,0.0,6714,0
aloj04_noches,valor,0.0,6667,0
aloj05_noches,valor,0.0,2543,0
aloj07_noches,valor,0.0,6686,0
aloj08_noches,valor,0.0,6535,0
aloj10_noches,valor,0.0,6663,0
paquete_monto,valor,0.0,6481,0
