trimestre,modulo,filas,columnas,duplicados_exactos,archivo
1,CARACTERISTICAS_GENERALES,31185,12,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-I trim2024\CARACTERISTICAS_GENERALES.csv
1,EDUCACION,30291,12,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-I trim2024\EDUCACION.csv
1,FUERZA_DE_TRABAJO,27401,17,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-I trim2024\FUERZA_DE_TRABAJO.csv
1,COMPLEMENTARIAS,27401,31,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-I trim2024\COMPLEMENTARIAS.csv
1,TURISMO,27401,92,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-I trim2024\TURISMO.csv
1,EXCURSIONISMO,27401,49,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-I trim2024\EXCURSIONISMO.csv
1,HOGAR,10746,23,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-I trim2024\HOGAR.csv
1,VIVIENDA,10635,13,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-I trim2024\VIVIENDA.csv
1,VIVIENDA_USO_RECREATIVO,171,13,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-I trim2024\VIVIENDA_USO_RECREATIVO.csv
2,CARACTERISTICAS_GENERALES,30542,12,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-II trim2024\CARACTERISTICAS_GENERALES.csv
2,EDUCACION,29656,12,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-II trim2024\EDUCACION.csv
2,FUERZA_DE_TRABAJO,26869,17,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-II trim2024\FUERZA_DE_TRABAJO.csv
2,COMPLEMENTARIAS,26869,31,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-II trim2024\COMPLEMENTARIAS.csv
2,TURISMO,26869,92,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-II trim2024\TURISMO.csv
2,EXCURSIONISMO,26869,49,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-II trim2024\EXCURSIONISMO.csv
2,HOGAR,10605,23,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-II trim2024\HOGAR.csv
2,VIVIENDA,10502,13,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-II trim2024\VIVIENDA.csv
2,VIVIENDA_USO_RECREATIVO,158,13,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-II trim2024\VIVIENDA_USO_RECREATIVO.csv
3,CARACTERISTICAS_GENERALES,30740,12,0,Bases de datos\III Trim 2024\CARACTERISTICAS_GENERALES.csv
3,EDUCACION,29848,12,0,Bases de datos\III Trim 2024\EDUCACION.csv
3,FUERZA_DE_TRABAJO,26962,17,0,Bases de datos\III Trim 2024\FUERZA_DE_TRABAJO.csv
3,COMPLEMENTARIAS,26962,31,0,Bases de datos\III Trim 2024\COMPLEMENTARIAS.csv
3,TURISMO,26962,92,0,Bases de datos\III Trim 2024\TURISMO.csv
3,EXCURSIONISMO,26962,49,0,Bases de datos\III Trim 2024\EXCURSIONISMO.csv
3,HOGAR,10540,23,0,Bases de datos\III Trim 2024\HOGAR.csv
3,VIVIENDA,10465,13,0,Bases de datos\III Trim 2024\VIVIENDA.csv
3,VIVIENDA_USO_RECREATIVO,132,13,0,Bases de datos\III Trim 2024\VIVIENDA_USO_RECREATIVO.csv
4,CARACTERISTICAS_GENERALES,29512,12,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-IV trim2024\CARACTERISTICAS_GENERALES.csv
4,EDUCACION,28695,12,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-IV trim2024\EDUCACION.csv
4,FUERZA_DE_TRABAJO,26017,17,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-IV trim2024\FUERZA_DE_TRABAJO.csv
4,COMPLEMENTARIAS,26017,31,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-IV trim2024\COMPLEMENTARIAS.csv
4,TURISMO,26017,92,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-IV trim2024\TURISMO.csv
4,EXCURSIONISMO,26017,49,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-IV trim2024\EXCURSIONISMO.csv
4,HOGAR,10267,23,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-IV trim2024\HOGAR.csv
4,VIVIENDA,10200,13,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-IV trim2024\VIVIENDA.csv
4,VIVIENDA_USO_RECREATIVO,119,13,0,Bases de datos\Base de datos-EGIT-Base Anonimizada-IV trim2024\VIVIENDA_USO_RECREATIVO.csv
