columna,modulo,variable_original
Directorio,CARACTERISTICAS_GENERALES,Directorio
Secuencia_p,CARACTERISTICAS_GENERALES,Secuencia_p
Secuencia_encuesta,CARACTERISTICAS_GENERALES,Secuencia_encuesta
Orden,CARACTERISTICAS_GENERALES,Orden
Fex_c,CARACTERISTICAS_GENERALES,Fex_c
llave_hogar,CARACTERISTICAS_GENERALES,llave_hogar
P6020,CARACTERISTICAS_GENERALES,P6020
P6030S1,CARACTERISTICAS_GENERALES,P6030S1
P6030S3,CARACTERISTICAS_GENERALES,P6030S3
P6040,CARACTERISTICAS_GENERALES,P6040
P6050,CARACTERISTICAS_GENERALES,P6050
P5502,CARACTERISTICAS_GENERALES,P5502
EDUCACION__Secuencia_encuesta,EDUCACION,Secuencia_encuesta
EDUCACION__Fex_c,EDUCACION,Fex_c
EDUCACION__llave_hogar,EDUCACION,llave_hogar
EDUCACION__P6160,EDUCACION,P6160
EDUCACION__P6170,EDUCACION,P6170
EDUCACION__P6175,EDUCACION,P6175
EDUCACION__P6210,EDUCACION,P6210
EDUCACION__P6210S1,EDUCACION,P6210S1
EDUCACION__P6220,EDUCACION,P6220
FUERZA_DE_TRABAJO__Secuencia_encuesta,FUERZA_DE_TRABAJO,Secuencia_encuesta
FUERZA_DE_TRABAJO__Fex_c,FUERZA_DE_TRABAJO,Fex_c
FUERZA_DE_TRABAJO__llave_hogar,FUERZA_DE_TRABAJO,llave_hogar
FUERZA_DE_TRABAJO__P6240,FUERZA_DE_TRABAJO,P6240
FUERZA_DE_TRABAJO__P6250,FUERZA_DE_TRABAJO,P6250
FUERZA_DE_TRABAJO__P6260,FUERZA_DE_TRABAJO,P6260
FUERZA_DE_TRABAJO__P6270,FUERZA_DE_TRABAJO,P6270
FUERZA_DE_TRABAJO__P6280,FUERZA_DE_TRABAJO,P6280
FUERZA_DE_TRABAJO__P6300,FUERZA_DE_TRABAJO,P6300
FUERZA_DE_TRABAJO__P6310,FUERZA_DE_TRABAJO,P6310
